115017,1,HCM_ManageLocations_CreateLocation_0032,7/06/2020 15:47:22 PM,0,Failed,7/06/2020 15:45:27 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3089,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2558,Passed,"",basic.step,
"Iteration Total (sec)",,111372,Failed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,28987,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,1,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,77,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DZknu%2ByDh53A0nb2P3yXJm83BavW%2FAjnHkchXcuYr9HwNZekoBgjZPiPds%2Br16H9gG0g3jJDXH5RCnIEqG7kLLof9Thd3yedwIISDIDYaAPd6Z%2FRknyXNaqvDxJ88miya6EjZ%2FKtSGxH91QhR2gVBTNK...",,9248,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,8,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,168,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,37,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,126,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=13tyc4jkle_5&_afrLoop=2736840165418857&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,14514,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,93,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2736853808401803&_adf.ctrl-state=13tyc4jkle_77",,3860,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,328,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,288,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2736853808401803&_adf.ctrl-state=13tyc4jkle_77#",,795,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"DoubleClick element(""@text='Locations'"")",,14255,Passed,"",ft.action,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:5:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,138,Passed,"",ft.action,
"Think: 3.309 (sec).",,3333,Passed,"",basic.comment,
"Click element(""@text='Create'"")",,875,Passed,"",ft.action,
"Think: 1.618 (sec).",,1650,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP1:inputText562::content'"")",,4684,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP1:inputText562::content'"") Tentlia",,150,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP1:it1::content'"")",,316,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP1:it1::content'"") 002",,124,Passed,"",ft.action,
"SetText textArea(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP1:inputText20::content'"") Dscription",,133,Passed,"",ft.action,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP1:r3:0:countrylov::lovIconId'"")",,145,Passed,"",ft.action,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP1:r3:0:countrylov::dropdownPopup::popupsearch'"")",,2340,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP1:r3:0:countrylov::_afrLovInternalQueryId:value00::content'"")",,2566,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP1:r3:0:countrylov::_afrLovInternalQueryId:value00::content'"")",,154,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP1:r3:0:countrylov::_afrLovInternalQueryId:value00::content'"") Saudi",,117,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP1:r3:0:countrylov::_afrLovInternalQueryId::search'"")",,196,Passed,"",ft.action,
"Think: 3.886 (sec).",,3913,Passed,"",basic.comment,
