82509,1,HCM_ManageLocations_EditLocation_0030,7/05/2020 19:14:33 PM,0,Passed,7/05/2020 19:13:10 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4407,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,3638,Passed,"",basic.step,
"Iteration Total (sec)",,76887,Passed,"",basic.iteration,
"Info",,2,Passed,"Comments: Name from data sheet is : --> Riyadh",basic.comment,
"Info",,0,Passed,"Comments: locationCode from data sheet is : 0017",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,21039,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,1,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,90,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUC7K0jiF8YiO1cMRdpm5HjLy9JsKLJFzKfuhZ2bBrELGjMcP0yocoUjTikUrLfVhAQmWJ7pM%2FJUuYcJajrLI6gKleNvTJeWdlrK5m5Sm32u%2BUv9qpiWaPpVWvO2C5D5YpeIa03DOLc0OWuDK93JSLvQEx0mzO...",,7910,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,9,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,209,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,49,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,134,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=12eoj4vffy_5&_afrLoop=2662918353029606&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,7263,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,108,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2662925242452839&_adf.ctrl-state=12eoj4vffy_77",,4019,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,251,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,306,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2662925242452839&_adf.ctrl-state=12eoj4vffy_77#",,848,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: Title of the page is : https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures",basic.comment,
"focus",28,6338,Passed,"",ft.action,
"Think: 1.1 (sec).",,1128,Passed,"",basic.comment,
"focus",99,120,Passed,"",ft.action,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:5:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",101,227,Passed,"",ft.action,
"Think: 1.145 (sec).",,1185,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:locSearchPanel:q1:value00::content'"") Riyadh",,1423,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:locSearchPanel:q1:value10::content'"") 0017",,68,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=2662930509561287&_afrWindowMode=0&_afrWindowId=yb7o9w45s&...",,531,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:locSearchPanel:q1::search'"")",,141,Passed,"",ft.action,
"Think: 2.599 (sec).",,2628,Passed,"",basic.comment,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=2662930509561287&_afrWindowMode=0&_afrWindowId=yb7o9w45s&...",,653,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.599 (sec).",,2624,Passed,"",basic.comment,
"Click element(""@text='Riyadh'"")",120,595,Passed,"",ft.action,
"Think: 5.599 (sec).",,5629,Passed,"",basic.comment,
