25076,1,HCM_ManagePosition_CorrectPosition_0057,8/12/2020 21:09:43 PM,0,Failed,8/12/2020 21:09:18 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1518,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,986,Passed,"",basic.step,
"Iteration Total (sec)",,23001,Failed,"",basic.iteration,
"Info",,2,Passed,"Comments: Effective Start Date is : 7/2/20",basic.comment,
"Info",,0,Passed,"Comments: Parent_Position_Code is : 5143",basic.comment,
"Info",,1,Passed,"Comments: Parent_Position_Name is : Team Leader",basic.comment,
"Info",,1,Passed,"Comments: Position_Name is : Sujit  K Swain_V2",basic.comment,
"Info",,0,Passed,"Comments: Job_Name is : Manager",basic.comment,
"Info",,1,Passed,"Comments: Job_Code is : 0006",basic.comment,
"Info",,1,Passed,"Comments: Profile_Name is : 0002",basic.comment,
"Info",,0,Passed,"Comments: Profile_Name is : Sujit_Profile",basic.comment,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,213,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5953061927581574&_afrWindowMode=0&_afrWindowId=16vyl8vzpy&_adf.ctrl-state=13vp45fh7v_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&...",,5755,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"SetText textBox(""@id='userid'"") Sujit.swain",,274,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,523,Passed,"",ft.action,
"Failed to playback",,13979,Failed,"",ft.action,
"setPassword",,13000,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,79,Failed,"",basic.finish,
"Failed to playback",,154,Failed,"Failed to playback: No browser launched.",ft.action,
