82287,1,HCM_ManagePosition_CreatePosition_0054,8/10/2020 06:11:46 AM,0,Passed,8/10/2020 06:10:23 AM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3503,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2918,Passed,"",basic.step,
"Iteration Total (sec)",,78447,Passed,"",basic.iteration,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,157,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,2529,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,315,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,168,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,413,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,129,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5726362190719844&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=v6tsufrvm_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,9564,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,492,Passed,"",ft.action,
"Think: 2.227 (sec).",,2284,Passed,"",basic.comment,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,190,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5726362190719844&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=v6tsufrvm_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,847,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Positions'"")",,5268,Passed,"",ft.action,
"Think: 1.683 (sec).",,1718,Passed,"",basic.comment,
"focus",,1694,Passed,"",ft.action,
"Think: 2.096 (sec).",,2126,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,3409,Passed,"",ft.action,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,3057,Passed,"",ft.action,
"Think: 3.834 (sec).",,3871,Passed,"",basic.comment,
