209894,1,HCM_ManagePosition_CreatePosition_0054,8/10/2020 06:55:40 AM,0,Failed,8/10/2020 06:52:08 AM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3374,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2741,Passed,"",basic.step,
"Iteration Total (sec)",,142488,Passed,"",basic.iteration,
"Info",,1,Passed,"Comments: Effective Start Date is : 7/2/20",basic.comment,
"Info",,0,Passed,"Comments: Parent_Position_Code is : 5143",basic.comment,
"Info",,1,Passed,"Comments: Parent_Position_Name is : Team Leader",basic.comment,
"Info",,1,Passed,"Comments: Position_Name is : Sujit  K Swain_V1.0",basic.comment,
"Info",,0,Passed,"Comments: Job_Name is : Leader",basic.comment,
"Info",,1,Passed,"Comments: Job_Code is : 0006",basic.comment,
"Info",,0,Passed,"Comments: Profile_Name is : 0001",basic.comment,
"Info",,0,Passed,"Comments: Profile_Name is : Sujit_Profile",basic.comment,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,185,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,4720,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,197,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,144,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,41,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,114,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5728856567962469&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=hrqt8lejl_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,9593,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,255,Passed,"",ft.action,
"Think: 2.227 (sec).",,2262,Passed,"",basic.comment,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,131,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5728856567962469&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=hrqt8lejl_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,906,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Positions'"")",,3964,Passed,"",ft.action,
"Think: 1.683 (sec).",,1713,Passed,"",basic.comment,
"focus",,685,Passed,"",ft.action,
"Think: 2.096 (sec).",,2115,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,2920,Passed,"",ft.action,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,2885,Passed,"",ft.action,
"Think: 3.834 (sec).",,3868,Passed,"",basic.comment,
"Click image(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:AT1:_ATp:commandToolbarButton1::icon'"")",,146,Passed,"",ft.action,
"Think: 2.155 (sec).",,2195,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:inputDate2::content'"")",,121,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:inputDate2::content'"") 7/2/20",,56,Passed,"",ft.action,
"Think: 2.95 (sec).",,2976,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:ParentPositionNameId::content'"")",,142,Passed,"",ft.action,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:ParentPositionNameId::lovIconId'"")",,126,Passed,"",ft.action,
"Think: 2.712 (sec).",,2731,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:ParentPositionNameId::dropdownPopup::popupsearch'"")",,119,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:ParentPositionNameId::_afrLovInternalQueryId:value00::content'"")",,1186,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:ParentPositionNameId::_afrLovInternalQueryId:value00::content'"") 5143",,66,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:ParentPositionNameId::_afrLovInternalQueryId:value10::content'"")",,116,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:ParentPositionNameId::_afrLovInternalQueryId:value10::content'"") Team Leader",,60,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:ParentPositionNameId::_afrLovInternalQueryId::search'"")",,121,Passed,"",ft.action,
"Think: 2.418 (sec).",,2450,Passed,"",basic.comment,
"Click element(""@text='Team Leader'"")",,136,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:ParentPositionNameId::lovDialogId::ok'"")",,125,Passed,"",ft.action,
"Think: 1.791 (sec).",,1820,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP4:inputText2::content'"") Sujit  K Swain_V1.0",,67,Passed,"",ft.action,
"Think: 1.01 (sec).",,1039,Passed,"",basic.comment,
"Click element(""@text='Next'"")",,416,Passed,"",ft.action,
"Think: 2.556 (sec).",,2592,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:AP5:selectOneChoice1::content'"")",,177,Passed,"",ft.action,
"Click element(""@text='Active'"")",,132,Passed,"",ft.action,
"Think: 2.7 (sec).",,2733,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:AP5:NameFromJobId::content'"")",,133,Passed,"",ft.action,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:AP5:NameFromJobId::lovIconId'"")",,120,Passed,"",ft.action,
"Think: 3.351 (sec).",,3381,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:AP5:NameFromJobId::dropdownPopup::popupsearch'"")",,142,Passed,"",ft.action,
"Think: 4.457 (sec).",,4488,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:AP5:NameFromJobId::_afrLovInternalQueryId:value00::content'"")",,164,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:AP5:NameFromJobId::_afrLovInternalQueryId:value00::content'"") Leader",,80,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:AP5:NameFromJobId::_afrLovInternalQueryId:value00::content'"")",,79,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:AP5:NameFromJobId::_afrLovInternalQueryId:value10::content'"") 0006",,79,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:AP5:NameFromJobId::_afrLovInternalQueryId::search'"")",,137,Passed,"",ft.action,
"Think: 2.208 (sec).",,2241,Passed,"",basic.comment,
"Click element(""@text='Leader'"")",,206,Passed,"",ft.action,
"Think: 1.672 (sec).",,1710,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:AP5:NameFromJobId::lovDialogId::ok'"")",,132,Passed,"",ft.action,
"Think: 2.568 (sec).",,2595,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:AP5:selectOneChoice4::content'"")",,144,Passed,"",ft.action,
"Click element(""@text='Approved'"")",,115,Passed,"",ft.action,
"Think: 5.88 (sec).",,5911,Passed,"",basic.comment,
"Click element(""@text='Next'"")",,406,Passed,"",ft.action,
"Think: 1.9 (sec).",,1929,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:4:AP6:EvalTF:0:evaluationSystem::content'"")",,132,Passed,"",ft.action,
"Think: 1.9 (sec).",,1928,Passed,"",basic.comment,
"Click element(""@text='Custom'"")",,93,Passed,"",ft.action,
"Think: 3.311 (sec).",,3339,Passed,"",basic.comment,
"Click element(""@text='Next'"")",,409,Passed,"",ft.action,
"Think: 1.109 (sec).",,1140,Passed,"",basic.comment,
"Click element(""@text='Create Profile'"")",,790,Passed,"",ft.action,
