72103,1,HCM_UpdateHomeAddress_0067,8/30/2020 17:09:17 PM,0,Passed,8/30/2020 17:08:06 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5671,Passed,"",basic.init,
"Launch Browser: Chrome 84.0.4147.135",,4895,Passed,"",basic.step,
"Iteration Total (sec)",,65751,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,178,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,61,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,6728,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,87,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,263,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,54,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,193,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1411,Passed,"",web.pageComplete,
"Think: 5.387 (sec).",,5417,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,284,Passed,"",ft.action,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_PER_INFO_4'"")",,254,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=PER_HCMPEOPLETOP_FUSE_PER_INFO",248,5108,Passed,"",web.pageComplete,
"Click element(""@text='Contact Info'"")",,213,Passed,"",ft.action,
"Click image(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:1:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:0:addrPse:PSEcil6::icon'"")",251,222,Passed,"",ft.action,
"Think: 5.387 (sec).",,5415,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:1:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:0:addrPse:adEsdDt::content'"")",,1056,Passed,"",ft.action,
