260212,1,HCM_UpdateHomeAddress_0067,8/31/2020 14:37:24 PM,0,Failed,8/31/2020 14:33:04 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,17919,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.83",,17295,Passed,"",basic.step,
"Iteration Total (sec)",,241657,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,91,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,34,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,50480,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,56,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,407,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,53,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,271,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1741,Passed,"",web.pageComplete,
"Think: 5.387 (sec).",,5433,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,233,Passed,"",ft.action,
"Click link(""@id='PER_HCMPEOPLETOP_FUSE_PER_INFO_4'"")",,218,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7570962756120613&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=1bgtu0uh13_1&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afrMFDW=1536&_afrMFDH=864&_afrMFC...",,6974,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Contact Info'"")",,236,Passed,"",ft.action,
"Think: 5.387 (sec).",,5416,Passed,"",basic.comment,
"Find Object",,60882,Failed,"Find Object timeout. Detail information:{{obj.HCM_UpdateHomeAddress_0067.ChangeDate}} = /web:window[@index='0' or @title='Contact Info - Personal Information - Oracle Applications']/web:document[@index='0' or @name='19zhd1vbyz']/web:form[@id='_FOf1' or @name='_FOf1' or @index='0']/web:input_text[@id='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:1:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:0:addrPse:adEsdDt::content' or @name='_FOpt1:_FOr1:0:_FOSrPER_HCMPEOPLETOP_FUSE_PER_INFO:0:MAnt2:1:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:0:addrPse:adEsdDt' or @index='0'].",ft.action,
"Finish Total (sec)",,225,Passed,"",basic.finish,
"closeBrowser",,47,Passed,"",ft.action,
