116895,1,HCM_Edit_Update_EmergencyContact_0146,12/28/2020 23:01:11 PM,0,Passed,12/28/2020 22:59:14 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4311,Passed,"",basic.init,
"Launch Browser: Chrome 87.0.4280.88",,3834,Passed,"",basic.step,
"Iteration Total (sec)",,112137,Passed,"",basic.iteration,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,127,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,23,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DopFSBVxqvHRQFMy8hwa%2Fvjm9aM%2FL8GX%2Bliq0xE5fWVme6oAFupxSkfmxqbCw5ndTQ5D%2F3pvZ%2BLww5RMTBRudvrYgrJFsp3n0tYAGHlHwiikZZ7GiTnmbbme%2BuO0pQ5FUQfM7MQ...",,6852,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,90,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,354,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,107,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,279,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DopFSBVxqvHRQFMy8hwa%2Fvjm9aM%2FL8GX%2Bliq0xE5fWVme6oAFupxSkfmxqbCw5ndTQ5D%2F3pvZ%2BLww5RMTBRudvrYgrJFsp3n0tYAGHlHwiikZZ7GiTnmbbme%2BuO0pQ5FUQfM7MQ...",,1420,Passed,"",web.pageComplete,
"focus",,4481,Passed,"",ft.action,
"Think: 1.147 (sec).",,1186,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,91,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=4t59r4iza_5&_afrLoop=19560842523350818&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1599,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3194,Passed,"",basic.comment,
"focus",,245,Passed,"",ft.action,
"Think: 0.147 (sec).",,178,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,295,Passed,"",ft.action,
"Think: 3.147 (sec).",,3170,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,217,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=19560847086654209&_adf.ctrl-state=4t59r4iza_81",,3043,Passed,"",web.pageComplete,
"Think: 2.444 (sec).",,2476,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,227,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"") Rina Chand",,84,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,249,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") 10340000000",,86,Passed,"",ft.action,
"Think: 0.546 (sec).",,564,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,242,Passed,"",ft.action,
"Think: 4.214 (sec).",,4231,Passed,"",basic.comment,
"focus",,246,Passed,"",ft.action,
"Think: 0.039 (sec).",,80,Passed,"",basic.comment,
"focus",,216,Passed,"",ft.action,
"Think: 0.079 (sec).",,95,Passed,"",basic.comment,
"focus",,241,Passed,"",ft.action,
"Think: 0.076 (sec).",,94,Passed,"",basic.comment,
"focus",,202,Passed,"",ft.action,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=19560856637963591&_afrWindowMode=0&_afrWindow...",,1147,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2462,Passed,"",basic.comment,
"Click image(""@alt='Actions'"")",37,275,Passed,"",ft.action,
"Think: 1.237 (sec).",,1268,Passed,"",basic.comment,
"Click element(""@text='Personal and Employment'"")",,400,Passed,"",ft.action,
"Think: 0.088 (sec).",,117,Passed,"",basic.comment,
"Click element(""@text='Person'"")",40,276,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=19560856637963591&_afrWindowMode=0&_afrWindow...",41,2251,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 4.411 (sec).",,4446,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2020-12-28&_afrLoop=19560876167595718&pAssignmentId=300000015018699&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonI...",,1230,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Contacts'"")",,240,Passed,"",ft.action,
"Think: 1.321 (sec).",,1357,Passed,"",basic.comment,
