123620,1,HCM_Add_Civil_ID_Information_0205,3/30/2021 02:14:23 AM,0,Failed,3/30/2021 02:12:19 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4039,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.90",,3451,Passed,"",basic.step,
"Iteration Total (sec)",,119221,Failed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,150,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,29,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Du1bk8W%2BaTYU%2FMB38qowcnvnW1%2Foyt36msbhP0AOqx9m83zZnKaUvjRhTV0CrS9RWm5aXr5agh4s3iEFYc4dUjUV3q4kE1Oy5ySk2zhnl8GOfTOn3X7NWg55%2FK3tnS1D0d0UCSO3Ejh...",,6176,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,80,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,261,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,74,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,208,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Du1bk8W%2BaTYU%2FMB38qowcnvnW1%2Foyt36msbhP0AOqx9m83zZnKaUvjRhTV0CrS9RWm5aXr5agh4s3iEFYc4dUjUV3q4kE1Oy5ySk2zhnl8GOfTOn3X7NWg55%2FK3tnS1D0d0UCSO3Ejh...",,1408,Passed,"",web.pageComplete,
"focus",,1287,Passed,"",ft.action,
"Think: 1.147 (sec).",,1171,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,51,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=1nbo03uv0_1&_adf.no-new-window-redirect=true&_afrLoop=2155559781409979&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1558,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3167,Passed,"",basic.comment,
"focus",,229,Passed,"",ft.action,
"Think: 0.147 (sec).",,167,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,198,Passed,"",ft.action,
"Think: 3.147 (sec).",,3166,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,230,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2155563544472476&_adf.ctrl-state=1nbo03uv0_93",,2933,Passed,"",web.pageComplete,
"Think: 2.444 (sec).",,2466,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,229,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"") Sujit Swain",,66,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,237,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") ",,67,Passed,"",ft.action,
"Think: 0.546 (sec).",,567,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,217,Passed,"",ft.action,
"Think: 2.214 (sec).",,2235,Passed,"",basic.comment,
"Click image(""@alt='Actions'"")",37,218,Passed,"",ft.action,
"Think: 2.237 (sec).",,2256,Passed,"",basic.comment,
"Click element(""@text='Personal and Employment'"")",,253,Passed,"",ft.action,
"Think: 2.088 (sec).",,2106,Passed,"",basic.comment,
"Click element(""@text='Employment'"")",40,400,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=2155572621986834&_afrWindowMode=0&_afrWindowI...",41,1769,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 4.411 (sec).",,4429,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-03-29&_afrLoop=2155587269451358&pAssignmentId=300000085313366&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonId...",,1099,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click image(""@alt='Tasks'"")",147,196,Passed,"",ft.action,
"Think: 4.288 (sec).",,4303,Passed,"",basic.comment,
"Click link(""@text='Person'"")",174,228,Passed,"",ft.action,
"Think: 3.783 (sec).",,3802,Passed,"",basic.comment,
"Click image(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:SP1:pt_r1:0:commandButton1::icon'"")",176,219,Passed,"",ft.action,
"Think: 3.627 (sec).",,3649,Passed,"",basic.comment,
"Click image(""@alt='Add Row'"")",,201,Passed,"",ft.action,
"Think: 1.566 (sec).",,1588,Passed,"",basic.comment,
"Find Object",,60682,Failed,"Find Object timeout. Detail information:{{obj.HCM_Add_Civil_ID_Information_0205.Country_Name}} = /web:window[@index='0' or @title='Person - Person Management - Oracle Applications']/web:document[@index='0' or @name='1a82kzcy73']/web:form[@id='_FOf1' or @name='_FOf1' or @index='0']/web:input_text[@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:SP1:pt_r1:0:AT3:_ATp:table4:8:countryNameId::content'].",ft.action,
"Finish Total (sec)",,37,Passed,"",basic.finish,
