80432,1,HCM_Adding a Contingent Worker_0132,12/06/2020 10:24:16 AM,0,Passed,12/06/2020 10:22:56 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5193,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,4567,Passed,"",basic.step,
"Iteration Total (sec)",,74504,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,110,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,61,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DbbYl%2B%2BfDBcpKaLkMh1zgxNnLrR4Qv322QafHINZNnlW1fAlf%2BvYWrnF%2FZuhecn0GmqgZXo1MEd%2FS3u8AcKYzMbj7UBNV8htFLDvXNvRcekaAOLmhPJ8Pp97HZmqpjC2XtFp0%2BU...",,6544,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,80,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,270,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,94,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,225,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DbbYl%2B%2BfDBcpKaLkMh1zgxNnLrR4Qv322QafHINZNnlW1fAlf%2BvYWrnF%2FZuhecn0GmqgZXo1MEd%2FS3u8AcKYzMbj7UBNV8htFLDvXNvRcekaAOLmhPJ8Pp97HZmqpjC2XtFp0%2BU...",,1474,Passed,"",web.pageComplete,
"focus",,2539,Passed,"",ft.action,
"Think: 1.147 (sec).",,1185,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,66,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=15aswscl6k_5&_afrLoop=17614665095507004&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_af...",,1747,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3181,Passed,"",basic.comment,
"focus",,226,Passed,"",ft.action,
"Think: 0.147 (sec).",,179,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,210,Passed,"",ft.action,
"Think: 3.147 (sec).",,3166,Passed,"",basic.comment,
"DoubleClick link(""@id='itemNode_workforce_management_new_person_0'"")",,67,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=17614669594272332&_adf.ctrl-state=15aswscl6k_81",,3175,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.796 (sec).",,3821,Passed,"",basic.comment,
"focus",,203,Passed,"",ft.action,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTsr1:0:cl01Upl:UPsp1:cl01Pce:cl01Lv:2:cl01Pse:cl01Cl'"")",,76,Passed,"",ft.action,
