58524,1,HCM_PayrollSalaryChange_Summary Report_0189,3/07/2021 12:19:13 PM,0,Failed,3/07/2021 12:18:14 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4885,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.82",,4491,Passed,"",basic.step,
"Iteration Total (sec)",,53291,Failed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,75,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,31,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DE5u8VN9oDUxjxs4ndvwhmJpFMqthLUl1XkMh%2FS9Qi1bxJyEYBQX%2BRVWnaC73yKei6WLq4WqCaK40awfiRD5vVLStfnosvMOVXmNFi6cuq6LVSfgc5fjQkEkfiDa7gHikGa95rkZ3cIW8F3...",,7139,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,74,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,249,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,76,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,223,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DE5u8VN9oDUxjxs4ndvwhmJpFMqthLUl1XkMh%2FS9Qi1bxJyEYBQX%2BRVWnaC73yKei6WLq4WqCaK40awfiRD5vVLStfnosvMOVXmNFi6cuq6LVSfgc5fjQkEkfiDa7gHikGa95rkZ3cIW8F3...",,1336,Passed,"",web.pageComplete,
"focus",,2346,Passed,"",ft.action,
"Think: 1.147 (sec).",,1173,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,75,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=swh94dyme_1&_adf.no-new-window-redirect=true&_afrLoop=204710433637355&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMF...",,1528,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3168,Passed,"",basic.comment,
"focus",,195,Passed,"",ft.action,
"Think: 0.147 (sec).",,168,Passed,"",basic.comment,
"Click link(""@text='ER Reports'"")",,223,Passed,"",ft.action,
"Think: 3.147 (sec).",,3166,Passed,"",basic.comment,
"DoubleClick link(""@text='Payroll Salary Change - Summary Report'"")",248,63,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",250,5239,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Payroll%20Salary%20Change/Report/Payroll%20Salary%20Change%20-%20Summary%20Report.xdo?_xpf=&_xpt=0&_xmode=2&_xd...",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/transparent.html)",,0,Passed,"",web.frame,
"focus",,208,Passed,"",ft.action,
"Think: 0.096 (sec).",,116,Passed,"",basic.comment,
"DoubleClick button(""@id='reportViewApply'"")",,83,Passed,"",ft.action,
"Think: 10 (sec).",,10018,Passed,"",basic.comment,
"CapturePage",,13801,Failed,"Failed to get a response after sending the message: <Message name=""CapturePage""><Parameter WindowIndex=""1""></Parameter></Message>.",ft.action,
"Finish Total (sec)",,40,Failed,"",basic.finish,
"Failed to playback",,66,Failed,"Failed to playback: No browser launched.",ft.action,
