117815,1,HCM_Cancel_Work_Relationship_for_Inactive_Payroll_Employee_N_0224,4/25/2021 15:40:12 PM,0,Failed,4/25/2021 15:38:14 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3376,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.85",,2944,Passed,"",basic.step,
"Iteration Total (sec)",,113926,Failed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,150,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,20,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DVbS%2FW1ykcsKaZPf%2B9W5T6IMxATOCgAuFIhwySqrjlSU8JV1aN0pBoYlIVoDLkHqWkbfayLRDqDGiqXnG3tWk1g5mu43%2Fti0nbj8VLmz0rSa3N6nhLv4ZO0Xl%2F%2BwA2bQwHuJTDEaW...",,7157,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,77,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,395,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,79,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,249,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DVbS%2FW1ykcsKaZPf%2B9W5T6IMxATOCgAuFIhwySqrjlSU8JV1aN0pBoYlIVoDLkHqWkbfayLRDqDGiqXnG3tWk1g5mu43%2Fti0nbj8VLmz0rSa3N6nhLv4ZO0Xl%2F%2BwA2bQwHuJTDEaW...",,1405,Passed,"",web.pageComplete,
"focus",,2372,Passed,"",ft.action,
"Think: 1.147 (sec).",,1174,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,59,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=186172qous_1&_adf.no-new-window-redirect=true&_afrLoop=4448650581421281&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1388,Passed,"",web.pageComplete,
