154163,1,HCM_ContingentWorker_Add_Contingent_Work_Relationship_0209,4/04/2021 22:49:25 PM,0,Passed,4/04/2021 22:46:50 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3547,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.114",,3078,Passed,"",basic.step,
"Iteration Total (sec)",,150224,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,144,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,32,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D64IlBvTxN7L5KeniSMjFaAUct565IqJGE8pdaC%2B11GQouhekv6fFZU01wnh96uaNb47tsGCkMB8UMMyqQ81NvvXIVv2YdP90oQUMapj%2BIXjGKIwKvYgfQmaAYivHcWlD8qvHRKsdLYIfDz...",,6936,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,92,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,255,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,72,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,211,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D64IlBvTxN7L5KeniSMjFaAUct565IqJGE8pdaC%2B11GQouhekv6fFZU01wnh96uaNb47tsGCkMB8UMMyqQ81NvvXIVv2YdP90oQUMapj%2BIXjGKIwKvYgfQmaAYivHcWlD8qvHRKsdLYIfDz...",,1409,Passed,"",web.pageComplete,
"focus",,2260,Passed,"",ft.action,
"Think: 1.147 (sec).",,1170,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,54,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=6h1w6euz8_1&_adf.no-new-window-redirect=true&_afrLoop=2661630915499036&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1545,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3164,Passed,"",basic.comment,
"focus",,185,Passed,"",ft.action,
"Think: 0.147 (sec).",,168,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,213,Passed,"",ft.action,
"Think: 3.147 (sec).",,3168,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,215,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2661635316280612&_adf.ctrl-state=6h1w6euz8_93",,3089,Passed,"",web.pageComplete,
"Think: 2.444 (sec).",,2466,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,217,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")  ",,103,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,228,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") 2348475506",,75,Passed,"",ft.action,
"Think: 0.546 (sec).",,564,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value40::Label0'"")",,233,Passed,"",ft.action,
"Think: 0.546 (sec).",,565,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,228,Passed,"",ft.action,
"Think: 2.214 (sec).",,2237,Passed,"",basic.comment,
"focus",,197,Passed,"",ft.action,
"Click link(""@text='Sujit Swain'"")",,234,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=2661644620201577&_afrWindowMode=0&_afrWindowI...",,1675,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.783 (sec).",,3800,Passed,"",basic.comment,
"focus",,236,Passed,"",ft.action,
"Info",,1,Passed,"Comments: Before Adding Contingent Work Relationship below is the screen shot..",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-04-04&_afrLoop=2661656543655054&pAssignmentId=300000004716806&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonId...",,1119,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click image(""@alt='Tasks'"")",147,232,Passed,"",ft.action,
"Click link(""@text='Create Work Relationship'"")",174,2386,Passed,"",ft.action,
"Think: 2.783 (sec).",,2799,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:0:SP1:inputDate1::content'"")",,228,Passed,"",ft.action,
"Think: 0.143 (sec).",,162,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:0:SP1:action::content'"")",,247,Passed,"",ft.action,
"Think: 0.929 (sec).",,950,Passed,"",basic.comment,
"Click element(""@text='Add Contingent Work Relationship'"")",,187,Passed,"",ft.action,
"Think: 1.908 (sec).",,1928,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:0:SP1:soc1::content'"")",,223,Passed,"",ft.action,
"Think: 1.249 (sec).",,1268,Passed,"",basic.comment,
