80209,1,HCM_Cancel_Work_Relationship_of_Employee_Worker_0222,4/25/2021 14:41:44 PM,0,Passed,4/25/2021 14:40:23 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2430,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.85",,1982,Passed,"",basic.step,
"Iteration Total (sec)",,77265,Passed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,160,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,52,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D09w0Bxp%2BkWmzCiZ4V%2FpDavF%2BD%2FCtuYkZLlu2i2MzdO7ulRV3IRxp3KskIZQwiPcWXbyAmdRC3%2Bc3ttinQk60oydJreOQ0ALhVgVFb9Z3%2Fxlj9ERfLRMXvgGRMLN4NwITXj8Xnb...",,6726,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,76,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,286,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,73,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,232,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D09w0Bxp%2BkWmzCiZ4V%2FpDavF%2BD%2FCtuYkZLlu2i2MzdO7ulRV3IRxp3KskIZQwiPcWXbyAmdRC3%2Bc3ttinQk60oydJreOQ0ALhVgVFb9Z3%2Fxlj9ERfLRMXvgGRMLN4NwITXj8Xnb...",,1381,Passed,"",web.pageComplete,
"focus",,2270,Passed,"",ft.action,
"Think: 1.147 (sec).",,1171,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,50,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=x5h2redit_1&_adf.no-new-window-redirect=true&_afrLoop=4445178721507163&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1430,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3167,Passed,"",basic.comment,
"focus",,205,Passed,"",ft.action,
"Think: 0.147 (sec).",,169,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,227,Passed,"",ft.action,
"Think: 3.147 (sec).",,3165,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,212,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=4445183002808336&_adf.ctrl-state=x5h2redit_81",,2670,Passed,"",web.pageComplete,
"Think: 2.444 (sec).",,2475,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,228,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")  ",,101,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,231,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") 2348762838",,63,Passed,"",ft.action,
"Think: 0.546 (sec).",,566,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,214,Passed,"",ft.action,
"Think: 2.214 (sec).",,2230,Passed,"",basic.comment,
"focus",,198,Passed,"",ft.action,
"Click link(""@text='Sujit Swain'"")",,235,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=4445191963913885&_afrWindowMode=0&_afrWindowI...",,1419,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.783 (sec).",,1802,Passed,"",basic.comment,
"Info",,1,Passed,"Comments: Before Cancel Work Relationship, below is the screen shot..",basic.comment,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=4445191963913885&_afrWindowMode=0&_afrWindowI...",,1034,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:table1:_ATp:table2:1:gl1'"")",,224,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-04-25&_afrLoop=4445207531650845&pAssignmentId=300000004339823&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonId...",,5653,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
