133479,1,HCM_ContractExtensionforRetirementEmployees_Above_60Yrs_0194,3/13/2021 02:10:48 AM,0,Failed,3/13/2021 02:08:34 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,23299,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.82",,22801,Passed,"",basic.step,
"Iteration Total (sec)",,109763,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,112,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,41,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Db4y5%2FGgnLyzXN9KOC2phWOyhcsTbS89fTMS3VYXtzevY4U2RXty272EWQ4uVpKB6Yfgu6YLO7iwCt39p0O%2BOe1Ct1QFFzI%2FZOHKAud5En44wnuJE2IHRjfEvcF%2FrcOnjdwP52ulLnO...",,7157,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,75,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,269,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,68,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,202,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Db4y5%2FGgnLyzXN9KOC2phWOyhcsTbS89fTMS3VYXtzevY4U2RXty272EWQ4uVpKB6Yfgu6YLO7iwCt39p0O%2BOe1Ct1QFFzI%2FZOHKAud5En44wnuJE2IHRjfEvcF%2FrcOnjdwP52ulLnO...",,1344,Passed,"",web.pageComplete,
"focus",,1327,Passed,"",ft.action,
"Think: 1.147 (sec).",,1197,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,95,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=hzn45rj4w_1&_adf.no-new-window-redirect=true&_afrLoop=686553157128580&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMF...",,1479,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3171,Passed,"",basic.comment,
"Click link(""@text='Me'"")",,225,Passed,"",ft.action,
"Think: 5.4 (sec).",,5431,Passed,"",basic.comment,
"Click link(""@text='Document Records'"")",,187,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=686556878753158&_adf.ctrl-state=hzn45rj4w_93",,2784,Passed,"",web.pageComplete,
"Think: 5.561 (sec).",,5593,Passed,"",basic.comment,
"Click element(""@_afrsvg='true'"")",,190,Passed,"",ft.action,
"Think: 4.042 (sec).",,4070,Passed,"",basic.comment,
"Click link(""@index='29'"")",,214,Passed,"",ft.action,
"Think: 2.203 (sec).",,2225,Passed,"",basic.comment,
"Click element(""@text='Retirement Extension'"")",,389,Passed,"",ft.action,
"Think: 10 (sec).",,10024,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,214,Passed,"",ft.action,
"Think: 4.566 (sec).",,4586,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:sh1Pce:df2_DocumentsOfRecordDFF1IteratorcurrentRetirementDate_DisplayGLB_RETIREMENT_EXTENSION::content'"")",,208,Passed,"",ft.action,
"Think: 1.233 (sec).",,1255,Passed,"",basic.comment,
"Click link(""@index='35'"")",,215,Passed,"",ft.action,
"Think: 6.982 (sec).",,7003,Passed,"",basic.comment,
"Click element(""@text='01-Jan-2048'"")",,206,Passed,"",ft.action,
"Think: 9.192 (sec).",,9209,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:sh1Pce:df2_DocumentsOfRecordDFF1IteratorcurrentRetirementDate_DisplayGLB_RETIREMENT_EXTENSION::content'"")",,256,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:sh1Pce:df2_DocumentsOfRecordDFF1IteratorcurrentRetirementDate_DisplayGLB_RETIREMENT_EXTENSION::content'"") 01-Jan-2048",,64,Passed,"",ft.action,
"Think: 0.27 (sec).",,292,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:sh1Pce:df2_DocumentsOfRecordDFF1IteratorproposedContractEndDateGLB_RETIREMENT_EXTENSION::content'"")",,207,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:sh1Pce:df2_DocumentsOfRecordDFF1IteratorproposedContractEndDateGLB_RETIREMENT_EXTENSION::content'"") 01-Jan-2049",,108,Passed,"",ft.action,
"Think: 0.127 (sec).",,145,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:sh1Pce:df2_DocumentsOfRecordDFF1IteratorjustificationGLB_RETIREMENT_EXTENSION::content'"")",,216,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:sh1Pce:df2_DocumentsOfRecordDFF1IteratorjustificationGLB_RETIREMENT_EXTENSION::content'"") Extension",,87,Passed,"",ft.action,
"Think: 0.508 (sec).",,527,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,190,Passed,"",ft.action,
"Think: 1.034 (sec).",,1048,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:SPsb2'"")",,403,Passed,"",ft.action,
"Think: 4.388 (sec).",,4404,Passed,"",basic.comment,
"Click image(""@alt='View More Details'"")",,197,Passed,"",ft.action,
"Think: 10 (sec).",,10016,Passed,"",basic.comment,
"DoubleClick element(""@text='01-Jan-2049'"")",,52,Passed,"",ft.action,
"Think: 10 (sec).",,10020,Passed,"",basic.comment,
"Click element(""@_afrsvg='true'"")",,222,Passed,"",ft.action,
"Think: 3.766 (sec).",,3786,Passed,"",basic.comment,
"Click element(""@_afrsvg='true'"")",,197,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FuseOverview?fnd=%252FWEB-INF%252Foracle%252Fapps%252Fhcm%252FhomePage%252FpublicUi%252FquickAction%252Fflow%252FHcmDataSecurityCheckFlow.xml%2523HcmDataSecurityCheckFlow%...",,2275,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,45,Failed,"Variable ""obj.HCM_ContractExtensionforRetirementEmployees_Above_60Yrs_0194.web_window_1"" not found for string: {{obj.HCM_ContractExtensionforRetirementEmployees_Above_60Yrs_0194.web_window_1}}",basic.finish,
