97912,1,HCM_Delete_ContractExtensionforRetirementEmployees_Above_60Yrs_0196,3/14/2021 14:57:47 PM,0,Failed,3/14/2021 14:56:09 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3998,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.82",,3503,Passed,"",basic.step,
"Iteration Total (sec)",,93473,Failed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,139,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,27,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DSlNi0ACf5BwL05yYEhj1p7EP6lYC%2BR5D%2BDSXJOBsc49rZJBcplFKUbFTFVBZTG52K8fDjOnL9oDkUm3%2B22BI9Ci2QWYwib0EULBAqhxIBjSa4YpFK7wJWxWRzR71Vr3UbBY8jVHlQq7N...",,6583,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,80,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,270,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,61,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,219,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DSlNi0ACf5BwL05yYEhj1p7EP6lYC%2BR5D%2BDSXJOBsc49rZJBcplFKUbFTFVBZTG52K8fDjOnL9oDkUm3%2B22BI9Ci2QWYwib0EULBAqhxIBjSa4YpFK7wJWxWRzR71Vr3UbBY8jVHlQq7N...",,1407,Passed,"",web.pageComplete,
"focus",,1371,Passed,"",ft.action,
"Think: 1.147 (sec).",,1186,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,64,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=n64izg37y_1&_adf.no-new-window-redirect=true&_afrLoop=818990586522725&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMF...",,1569,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3183,Passed,"",basic.comment,
"Click link(""@text='Me'"")",,204,Passed,"",ft.action,
"Think: 1.4 (sec).",,1421,Passed,"",basic.comment,
"Click link(""@text='Document Records'"")",,195,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=818994087907580&_adf.ctrl-state=n64izg37y_93",,3132,Passed,"",web.pageComplete,
"Think: 2.561 (sec).",,2591,Passed,"",basic.comment,
"Click image(""@alt='View More Details'"")",,200,Passed,"",ft.action,
"Think: 2.615 (sec).",,2639,Passed,"",basic.comment,
"focus",,178,Passed,"",ft.action,
"Think: 2.04 (sec).",,2060,Passed,"",basic.comment,
"Info",,0,Passed,"Comments: Before Edit -> Below captured the sreen shot of Proposed Contract End Date",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FuseOverview?fnd=%252FWEB-INF%252Foracle%252Fapps%252Fhcm%252FhomePage%252FpublicUi%252FquickAction%252Fflow%252FHcmDataSecurityCheckFlow.xml%2523HcmDataSecurityCheckFlow%...",,1045,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:UPDctb1'"")",,326,Passed,"",ft.action,
"Think: 0.529 (sec).",,546,Passed,"",basic.comment,
"Find Object",,60301,Failed,"Find Object timeout. Detail information:{{obj.HCM_Delete_ContractExtensionforRetirementEmployees_Above_60Yrs_0196.ProposedContractEndDate}} = /web:window[@index='0' or @title='Document Records - Oracle Applications']/web:document[@index='0' or @name='1cs2z8i3xo']/web:form[@id='_FOf1' or @name='_FOf1' or @index='0']/web:input_text[@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:docPse:Edf2_DocumentsOfRecordDFF1IteratorproposedContractEndDateGLB_RETIREMENT_EXTENSION::content' or @name='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:docPse:Edf2_DocumentsOfRecordDFF1IteratorproposedContractEndDateGLB_RETIREMENT_EXTENSION' or @index='10'].",ft.action,
"Finish Total (sec)",,42,Passed,"",basic.finish,
