12604,1,HCM_Edit_Civil_ID_Information_0207,3/30/2021 14:35:12 PM,0,Failed,3/30/2021 14:34:59 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3564,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.90",,3217,Passed,"",basic.step,
"Iteration Total (sec)",,8622,Failed,"Variable ""obj.HCM_Edit_Civil_ID_Information_0207.You have a new home page!"" not found for string: {{obj.HCM_Edit_Civil_ID_Information_0207.You have a new home page!}}",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,132,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,20,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DltLR%2FiI7CaUv3%2BIjgEJPKcRqVJam4ui%2BnR%2B9XvoHAkvXUOk6EBqz00scwy7tqcQM5CF28HhqpES5lDtGfULjoKxfLpqsDh8Hw6PQfB8KmWDdLyZ8b1SeFirsd5puyPK16HnKKxJbD7...",,5581,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,76,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,245,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,64,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,212,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DltLR%2FiI7CaUv3%2BIjgEJPKcRqVJam4ui%2BnR%2B9XvoHAkvXUOk6EBqz00scwy7tqcQM5CF28HhqpES5lDtGfULjoKxfLpqsDh8Hw6PQfB8KmWDdLyZ8b1SeFirsd5puyPK16HnKKxJbD7...",,1366,Passed,"",web.pageComplete,
"Finish Total (sec)",,67,Passed,"",basic.finish,
