93672,1,HCM_ContractExtensionforRetirementEmployees_Above_60Yrs_0194,3/14/2021 12:13:57 PM,0,Failed,3/14/2021 12:12:23 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3106,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.82",,2634,Passed,"",basic.step,
"Iteration Total (sec)",,90124,Failed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,115,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,26,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DiOkJuifw19lIvxC5j28uuoj3H80jOz67zzORLsvM%2B2OcVKE%2FFWY54dHJmgHIDOchWwdnuy1Y%2BVpEY4XpArjsYmikQNCvNYWC3l8SI2VUIjpNUh8zCCdcoQcFRedSQrtpMBymW5i38nZh...",,7579,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,71,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,253,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,66,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,214,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DiOkJuifw19lIvxC5j28uuoj3H80jOz67zzORLsvM%2B2OcVKE%2FFWY54dHJmgHIDOchWwdnuy1Y%2BVpEY4XpArjsYmikQNCvNYWC3l8SI2VUIjpNUh8zCCdcoQcFRedSQrtpMBymW5i38nZh...",,1376,Passed,"",web.pageComplete,
"focus",,3346,Passed,"",ft.action,
"Think: 1.147 (sec).",,1177,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,60,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=88w86u9ox_1&_adf.no-new-window-redirect=true&_afrLoop=809164631439915&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMF...",,1528,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3169,Passed,"",basic.comment,
"Click link(""@text='Me'"")",,201,Passed,"",ft.action,
"Think: 1.4 (sec).",,1425,Passed,"",basic.comment,
"Click link(""@text='Document Records'"")",,202,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=809170033022930&_adf.ctrl-state=88w86u9ox_93",,1508,Passed,"",web.pageComplete,
"Think: 2.561 (sec).",,2586,Passed,"",basic.comment,
"Click element(""@text='Add'"")",,289,Passed,"",ft.action,
"Think: 2.041 (sec).",,2074,Passed,"",basic.comment,
"Find Object",,60534,Failed,"Find Object timeout. Detail information:{{obj.HCM_ContractExtensionforRetirementEmployees_Above_60Yrs_0194.Document Type}} = /web:window[@index='0' or @title='Document Records - Oracle Applications']/web:document[@index='0' or @name='9sv9y7jil']/web:input_text[@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:sh1Pce:lcvSis:typRSrh::content'].",ft.action,
"Finish Total (sec)",,44,Passed,"",basic.finish,
