40090,1,HCM_Edit_ContractExtensionforRetirementEmployees_Above_60Yrs_0195,3/14/2021 12:23:01 PM,0,Passed,3/14/2021 12:22:21 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3653,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.82",,3140,Passed,"",basic.step,
"Iteration Total (sec)",,36052,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,92,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,25,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D%2B8UiSFCDvcqiYRiFxIw%2BmsV2cwj27vbCb73q5vS7hmQ3XMhBvYTxB3XO5Q7UQXZjyqyAZqvBfF%2Blk3YbwUl3VRTg97hZTnTt2kk5wgocpzNB%2BYcJp2iEWLVyy0BMp16odaTkaRHDrL...",,6596,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,75,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,250,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,72,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,219,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D%2B8UiSFCDvcqiYRiFxIw%2BmsV2cwj27vbCb73q5vS7hmQ3XMhBvYTxB3XO5Q7UQXZjyqyAZqvBfF%2Blk3YbwUl3VRTg97hZTnTt2kk5wgocpzNB%2BYcJp2iEWLVyy0BMp16odaTkaRHDrL...",,1361,Passed,"",web.pageComplete,
"focus",,1280,Passed,"",ft.action,
"Think: 1.147 (sec).",,1193,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,59,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=8d6pm660u_1&_adf.no-new-window-redirect=true&_afrLoop=809761321905780&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMF...",,1577,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3175,Passed,"",basic.comment,
"Click link(""@text='Me'"")",,212,Passed,"",ft.action,
"Think: 1.4 (sec).",,1425,Passed,"",basic.comment,
"Click link(""@text='Document Records'"")",,196,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=809765023966954&_adf.ctrl-state=8d6pm660u_93",,2988,Passed,"",web.pageComplete,
"Think: 2.561 (sec).",,2591,Passed,"",basic.comment,
"DoubleClick element(""@text='Add'"")",,81,Passed,"",ft.action,
"Think: 2.041 (sec).",,2064,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:1:dorDUpl:UPsp1:sh1Pce:lcvSis:typRSrh::content'"")",,193,Passed,"",ft.action,
"Think: 2.203 (sec).",,2224,Passed,"",basic.comment,
"Click element(""@text='Retirement Extension'"")",,474,Passed,"",ft.action,
"Think: 1.738 (sec).",,1760,Passed,"",basic.comment,
"Info",,1,Passed,"Comments: Extension to employee's retirement is not added correctily, Please add first before validate it.",basic.comment,
"focus",,205,Passed,"",ft.action,
"Think: 2.04 (sec).",,2061,Passed,"",basic.comment,
"Info",,0,Passed,"Comments: Below captured the sreen shot of Proposed Contract End Date",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FuseOverview?fnd=%252FWEB-INF%252Foracle%252Fapps%252Fhcm%252FhomePage%252FpublicUi%252FquickAction%252Fflow%252FHcmDataSecurityCheckFlow.xml%2523HcmDataSecurityCheckFlow%...",,1150,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,33,Passed,"",basic.finish,
