68164,1,HCM_EmbassyCertificate_Employment_Arabic_0170,2/07/2021 23:53:36 PM,0,Passed,2/07/2021 23:52:28 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2942,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.146",,2547,Passed,"",basic.step,
"Iteration Total (sec)",,63048,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,81,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,29,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DpXmou3irVF%2BoT272V9YnC35stZ9eSoWEW2ae3vQuXLkr3YEI2n1PvbsX%2Fx4fXpk9DhiAkCmVQdrJNmSqQqAKl6XcN70DBIkOehSn9MkWv%2FiT%2Fjo7VxWu9516NvtI93739CKwvOIRzO...",,7576,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,75,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,270,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,67,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,211,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DpXmou3irVF%2BoT272V9YnC35stZ9eSoWEW2ae3vQuXLkr3YEI2n1PvbsX%2Fx4fXpk9DhiAkCmVQdrJNmSqQqAKl6XcN70DBIkOehSn9MkWv%2FiT%2Fjo7VxWu9516NvtI93739CKwvOIRzO...",,1336,Passed,"",web.pageComplete,
"focus",,2285,Passed,"",ft.action,
"Think: 1.147 (sec).",,1172,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,46,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=87oo9dima_5&_afrLoop=23106434217920403&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1566,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3169,Passed,"",basic.comment,
"focus",,197,Passed,"",ft.action,
"Think: 0.147 (sec).",,165,Passed,"",basic.comment,
"Click link(""@text='Letters and Certificates'"")",,198,Passed,"",ft.action,
"Think: 3.147 (sec).",,3159,Passed,"",basic.comment,
"DoubleClick link(""@text='Employment Certificate'"")",,51,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry&Action=open&itemType=.xdo&bipPath=%2FCustom%2FHuman%20Capital%20Management%2FReports%2FHuman%20Resources%2FEmployment%20Certificate%2FReport%2FEmplo...",165,5062,Passed,"",web.pageComplete,
"Think: 3.791 (sec).",,3813,Passed,"",basic.comment,
"Click link(""@text='Employment_Arabic'"")",171,203,Passed,"",ft.action,
"Think: 6.334 (sec).",,6346,Passed,"",basic.comment,
"Click element(""@text=' '"")",173,203,Passed,"",ft.action,
"Think: 1.398 (sec).",,1412,Passed,"",basic.comment,
"Click element(""@id='xdo:xdo:_paramsP_Include_sal_div_li_0'"")",174,206,Passed,"",ft.action,
"Think: 2.731 (sec).",,2744,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",175,219,Passed,"",ft.action,
"Think: 8.106 (sec).",,8126,Passed,"",basic.comment,
"Click link(""@text='Employment_English'"")",176,214,Passed,"",ft.action,
"Think: 3.029 (sec).",,3045,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",177,213,Passed,"",ft.action,
"Think: 4.871 (sec).",,4881,Passed,"",basic.comment,
"Click link(""@text='Employment_English_Arab...'"")",178,217,Passed,"",ft.action,
"Think: 2.209 (sec).",,2220,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",179,208,Passed,"",ft.action,
"Finish Total (sec)",,1847,Passed,"",basic.finish,
"Think: 1.771 (sec).",,1792,Passed,"",basic.comment,
