57342,1,HCM_EmbassyCertificate_0169,2/07/2021 01:55:13 AM,0,Passed,2/07/2021 01:54:16 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4412,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.146",,4048,Passed,"",basic.step,
"Iteration Total (sec)",,50809,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,84,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,33,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DXH3dBqh%2BEiEjTodiasIj%2FTg24PAX6Jy%2BucTZqvdCEzoeXwqSlAXZ47uiBFYkEej55XcMCc6kpDBqqwzrGctNGKEB0f9zLnBaV6EDW3iOGLNkhKPBJ%2BevoI%2FLBLxxmbhCEJokfF1V...",,8404,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,64,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,276,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,72,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,217,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DXH3dBqh%2BEiEjTodiasIj%2FTg24PAX6Jy%2BucTZqvdCEzoeXwqSlAXZ47uiBFYkEej55XcMCc6kpDBqqwzrGctNGKEB0f9zLnBaV6EDW3iOGLNkhKPBJ%2BevoI%2FLBLxxmbhCEJokfF1V...",,1402,Passed,"",web.pageComplete,
"focus",,2279,Passed,"",ft.action,
"Think: 1.147 (sec).",,1179,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,60,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=18h4a0jrdd_5&_afrLoop=23027342971797743&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_af...",,1529,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3168,Passed,"",basic.comment,
"focus",,214,Passed,"",ft.action,
"Think: 0.147 (sec).",,168,Passed,"",basic.comment,
"Click link(""@text='Letters and Certificates'"")",,203,Passed,"",ft.action,
"Think: 3.147 (sec).",,3165,Passed,"",basic.comment,
"DoubleClick link(""@text='Embassy Certificate'"")",,49,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry&Action=open&itemType=.xdo&bipPath=%2FCustom%2FHuman%20Capital%20Management%2FReports%2FHuman%20Resources%2FEmbassy%20Certificate%2FReport%2FEmbassy%...",165,5109,Passed,"",web.pageComplete,
"Think: 3.791 (sec).",,3808,Passed,"",basic.comment,
"Click element(""@text=' '"")",167,230,Passed,"",ft.action,
"Think: 2.236 (sec).",,2249,Passed,"",basic.comment,
"Click element(""@text='With total salary'"")",,219,Passed,"",ft.action,
"Think: 2.771 (sec).",,2791,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,206,Passed,"",ft.action,
"Think: 2.771 (sec).",,2786,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",165,8538,Passed,"",web.capPage,
"Finish Total (sec)",,1848,Passed,"",basic.finish,
"Think: 1.771 (sec).",,1790,Passed,"",basic.comment,
