86266,1,HCM_EmbassyCertificate_Employment_Arabic_0170,2/08/2021 00:09:41 AM,0,Passed,2/08/2021 00:08:14 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3001,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.146",,2635,Passed,"",basic.step,
"Iteration Total (sec)",,80987,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,83,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,47,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D00xn8aPA71MynnBcEgqT%2FKfshuds2Oi8pilKhnBWV0A%2FPMmiBHyT%2FGvAXxtWxy5bqWl07Ks%2BiP%2BEDk2aZl0VXRTP8zBsCkUW9VWL1Sdcjx81sokBQnyDRJRI%2FUm8Qo602RxlTp...",,7602,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,69,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,249,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,69,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,232,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D00xn8aPA71MynnBcEgqT%2FKfshuds2Oi8pilKhnBWV0A%2FPMmiBHyT%2FGvAXxtWxy5bqWl07Ks%2BiP%2BEDk2aZl0VXRTP8zBsCkUW9VWL1Sdcjx81sokBQnyDRJRI%2FUm8Qo602RxlTp...",,1339,Passed,"",web.pageComplete,
"focus",,2265,Passed,"",ft.action,
"Think: 1.147 (sec).",,1167,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,49,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=u2mku7ufc_5&_afrLoop=23107380086038590&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1508,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3172,Passed,"",basic.comment,
"focus",,214,Passed,"",ft.action,
"Think: 0.147 (sec).",,166,Passed,"",basic.comment,
"Click link(""@text='Letters and Certificates'"")",,197,Passed,"",ft.action,
"Think: 3.147 (sec).",,3159,Passed,"",basic.comment,
"DoubleClick link(""@text='Employment Certificate'"")",,69,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",165,5208,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Employment%20Certificate/Report/Employment%20Certificate.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%2FHuman%20Cap...",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/transparent.html)",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/transparent.html)",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/transparent.html)",,0,Passed,"",web.frame,
"Think: 3.791 (sec).",,3805,Passed,"",basic.comment,
"Click link(""@text='Employment_Arabic'"")",,194,Passed,"",ft.action,
"Think: 2.334 (sec).",,2350,Passed,"",basic.comment,
"Click element(""@text=' '"")",,195,Passed,"",ft.action,
"Think: 1.398 (sec).",,1417,Passed,"",basic.comment,
"Click element(""@id='xdo:xdo:_paramsP_Include_sal_div_li_0'"")",,187,Passed,"",ft.action,
"Think: 2.731 (sec).",,2742,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,214,Passed,"",ft.action,
"Think: 4.107 (sec).",,4118,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",165,8487,Passed,"",web.capPage,
"Click link(""@text='Employment_English'"")",,215,Passed,"",ft.action,
"Think: 3.029 (sec).",,3040,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,231,Passed,"",ft.action,
"Think: 4.871 (sec).",,4883,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",165,8502,Passed,"",web.capPage,
"Click link(""@text='Employment_English_Arab...'"")",,218,Passed,"",ft.action,
"Think: 2.209 (sec).",,2225,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,223,Passed,"",ft.action,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",165,8533,Passed,"",web.capPage,
"Finish Total (sec)",,1999,Passed,"",basic.finish,
"closeBrowser",165,38,Passed,"",ft.action,
"Think: 1.771 (sec).",,1788,Passed,"",basic.comment,
"closeBrowser",640,36,Passed,"",ft.action,
