54577,1,HCM_EmbassyCertificate_Employment_English_0171,2/08/2021 00:17:12 AM,0,Passed,2/08/2021 00:16:17 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2927,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.146",,2531,Passed,"",basic.step,
"Iteration Total (sec)",,49352,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,75,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,30,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D37hw8nhz9ex%2FjoBT3QAnPLk8x2n2rNSuG5i7atCck7bN56zv6KIunpVsK0mNOqxTSQClXiW6J2Dtlm%2F4vFDk2di47DgTTufYwmvdRC9RpsYauP%2B9Z8mv31fGTKU%2F624kQiO%2FftQv...",,7788,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,75,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,252,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,71,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,208,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D37hw8nhz9ex%2FjoBT3QAnPLk8x2n2rNSuG5i7atCck7bN56zv6KIunpVsK0mNOqxTSQClXiW6J2Dtlm%2F4vFDk2di47DgTTufYwmvdRC9RpsYauP%2B9Z8mv31fGTKU%2F624kQiO%2FftQv...",,1336,Passed,"",web.pageComplete,
"focus",,2246,Passed,"",ft.action,
"Think: 1.147 (sec).",,1177,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,50,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=hlxjg51bn_5&_afrLoop=23107863069981869&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1522,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3169,Passed,"",basic.comment,
"focus",,190,Passed,"",ft.action,
"Think: 0.147 (sec).",,167,Passed,"",basic.comment,
"Click link(""@text='Letters and Certificates'"")",,214,Passed,"",ft.action,
"Think: 3.147 (sec).",,3160,Passed,"",basic.comment,
"DoubleClick link(""@text='Employment Certificate'"")",,84,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",165,5084,Passed,"",web.pageComplete,
"Think: 3.791 (sec).",,3822,Passed,"",basic.comment,
"Click link(""@text='Employment_English'"")",,229,Passed,"",ft.action,
"Think: 3.029 (sec).",,3043,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,205,Passed,"",ft.action,
"Think: 4.871 (sec).",,4888,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",165,8511,Passed,"",web.capPage,
"Finish Total (sec)",,2016,Passed,"",basic.finish,
"closeBrowser",165,41,Passed,"",ft.action,
"Think: 1.771 (sec).",,1792,Passed,"",basic.comment,
"closeBrowser",640,40,Passed,"",ft.action,
