56536,1,HCM_PayrollSalaryChange_Summary Report_0189,3/07/2021 12:26:48 PM,0,Failed,3/07/2021 12:25:51 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3291,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.82",,2933,Passed,"",basic.step,
"Iteration Total (sec)",,52896,Failed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,65,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,24,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DGMGfDe4avIAqdrT%2FIxgvg63Qf8Z7C%2BS%2BWYQ6BaeOQZoMsmuskOtoF9z7Ji35umq5GkXCWO%2BmKCZtBhiUy6f%2B2xAGgtw1NxY1AXxBMjT7KSDEnjtMOqpGg4SNDYq2LvK7Y3gx%2Fw...",,7241,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,68,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,255,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,93,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,218,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DGMGfDe4avIAqdrT%2FIxgvg63Qf8Z7C%2BS%2BWYQ6BaeOQZoMsmuskOtoF9z7Ji35umq5GkXCWO%2BmKCZtBhiUy6f%2B2xAGgtw1NxY1AXxBMjT7KSDEnjtMOqpGg4SNDYq2LvK7Y3gx%2Fw...",,1369,Passed,"",web.pageComplete,
"focus",,2334,Passed,"",ft.action,
"Think: 1.147 (sec).",,1171,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,50,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=12cfj0ba61_1&_adf.no-new-window-redirect=true&_afrLoop=205165052361325&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1482,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3164,Passed,"",basic.comment,
"focus",,187,Passed,"",ft.action,
"Think: 0.147 (sec).",,173,Passed,"",basic.comment,
"Click link(""@text='ER Reports'"")",,198,Passed,"",ft.action,
"Think: 3.147 (sec).",,3168,Passed,"",basic.comment,
"DoubleClick link(""@text='Payroll Salary Change - Summary Report'"")",248,90,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry&Action=open&itemType=.xdo&bipPath=%2FCustom%2FHuman%20Capital%20Management%2FReports%2FHuman%20Resources%2FPayroll%20Salary%20Change%2FReport%2FPayr...",250,5166,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Payroll%20Salary%20Change/Report/Payroll%20Salary%20Change%20-%20Summary%20Report.xdo?_xpf=&_xpt=0&_xmode=2&_xd...",,0,Passed,"",web.frame,
"focus",,231,Passed,"",ft.action,
"Think: 0.096 (sec).",,114,Passed,"",basic.comment,
"DoubleClick button(""@id='reportViewApply'"")",,68,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"CapturePage",,13486,Failed,"Failed to get a response after sending the message: <Message name=""CapturePage""><Parameter WindowIndex=""1""></Parameter></Message>.",ft.action,
"Finish Total (sec)",,50,Failed,"",basic.finish,
"Failed to playback",,74,Failed,"Failed to playback: No browser launched.",ft.action,
