24811,1,HCM_Enter_Manager_Change_0152,1/05/2021 11:39:34 AM,0,Failed,1/05/2021 11:39:09 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1585,Passed,"",basic.init,
"Launch Browser: Chrome 87.0.4280.88",,985,Passed,"",basic.step,
"Iteration Total (sec)",,22674,Failed,"",basic.iteration,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,187,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,33,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=20211225522617048&_afrWindowMode=0&_afrWindowId=6kui0smva&_adf.ctrl-state=rfwq55avf_186&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afrM...",,8229,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Failed to playback",,12549,Failed,"",ft.action,
"setText",,12098,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,97,Passed,"",basic.finish,
