73291,1,HCM_Enter_Status_Change_0151,1/04/2021 18:31:57 PM,0,Failed,1/04/2021 18:30:44 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,6298,Passed,"",basic.init,
"Launch Browser: Chrome 87.0.4280.88",,5521,Passed,"",basic.step,
"Iteration Total (sec)",,66063,Failed,"",basic.iteration,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,258,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,93,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D9ARN18whNgxSuGCz1axGiwYX9htpxIidaFk9WDm1S6xS6B%2F6wJ0BgGHobku6mT4kJnbzyth4dxD0n%2B3RG2aSot%2FN9X4nOZQN%2FyWPXPZHb9K48cDReWoQivUojz2PEezhgPeIudpXx1...",,7542,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,121,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,366,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,114,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,226,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D9ARN18whNgxSuGCz1axGiwYX9htpxIidaFk9WDm1S6xS6B%2F6wJ0BgGHobku6mT4kJnbzyth4dxD0n%2B3RG2aSot%2FN9X4nOZQN%2FyWPXPZHb9K48cDReWoQivUojz2PEezhgPeIudpXx1...",,1512,Passed,"",web.pageComplete,
"focus",,1983,Passed,"",ft.action,
"Think: 1.147 (sec).",,1207,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,64,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=13ddamlbf3_5&_afrLoop=20149534796334500&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_af...",,1745,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3202,Passed,"",basic.comment,
"focus",,218,Passed,"",ft.action,
"Think: 0.147 (sec).",,197,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,240,Passed,"",ft.action,
"Think: 3.147 (sec).",,3180,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,293,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=20149539133457049&_adf.ctrl-state=13ddamlbf3_81",,4200,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2483,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,231,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"") Rina Chand",,98,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,262,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") 10340000000",,116,Passed,"",ft.action,
"Think: 0.546 (sec).",,570,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,252,Passed,"",ft.action,
"Think: 4.214 (sec).",,4247,Passed,"",basic.comment,
"Click element(""@text='Contingent Worker'"")",,245,Passed,"",ft.action,
"Think: 0.076 (sec).",,119,Passed,"",basic.comment,
"Click link(""@text='Syam Bahadur'"")",,269,Passed,"",ft.action,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=20149548907161109&_afrWindowMode=0&_afrWindow...",,1427,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 4.444 (sec).",,4520,Passed,"",basic.comment,
"Click element(""@text='Edit'"")",163,249,Passed,"",ft.action,
"Click element(""@text='Update'"")",164,435,Passed,"",ft.action,
"Think: 1.303 (sec).",,1326,Passed,"",basic.comment,
"Failed to playback",,18108,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,101,Passed,"",basic.finish,
