118928,1,HCM_Enter_Status_Change_0151,5/26/2021 00:38:20 AM,0,Passed,5/26/2021 00:36:21 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3162,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.212",,2744,Passed,"",basic.step,
"Iteration Total (sec)",,115386,Passed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,113,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,24,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DOmm%2BgkLDJCNHZhgGvMb%2FV%2BfozbX69q08zLbshu6aWjnnnMJ0iAjG3nKVnkijw5wlM98jCnWox%2B4xDeY%2Fst9gCmB3VYZmKiuusiBoSilSG6zmFbOtcr5abKBuK%2FZCl55W0IrquV...",,5732,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") usmanim@maaden.com.sa",,76,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,275,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,95,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,210,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DOmm%2BgkLDJCNHZhgGvMb%2FV%2BfozbX69q08zLbshu6aWjnnnMJ0iAjG3nKVnkijw5wlM98jCnWox%2B4xDeY%2Fst9gCmB3VYZmKiuusiBoSilSG6zmFbOtcr5abKBuK%2FZCl55W0IrquV...",,1385,Passed,"",web.pageComplete,
"focus",,1294,Passed,"",ft.action,
"Think: 1.147 (sec).",,1179,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,60,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=kmkye2naq_1&_adf.no-new-window-redirect=true&_afrLoop=7072935095371911&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1429,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3178,Passed,"",basic.comment,
"focus",,203,Passed,"",ft.action,
"Think: 0.147 (sec).",,164,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,212,Passed,"",ft.action,
"Think: 3.147 (sec).",,3166,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,215,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7072938552264590&_adf.ctrl-state=kmkye2naq_81",,2396,Passed,"",web.pageComplete,
"Think: 2.444 (sec).",,2472,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,233,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")  ",,71,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value10::content'"")",,254,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value10::content'"") 100285",,73,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,204,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") ",,76,Passed,"",ft.action,
"Think: 0.546 (sec).",,564,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,209,Passed,"",ft.action,
"Think: 1.214 (sec).",,1233,Passed,"",basic.comment,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=7072947680498836&_afrWindowMode=0&_afrWindowI...",,994,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:table1:_ATp:table2:0:gl1'"")",,225,Passed,"",ft.action,
"Think: 2.444 (sec).",,2462,Passed,"",basic.comment,
"Click element(""@text='Edit'"")",163,207,Passed,"",ft.action,
"Think: 2.303 (sec).",,2320,Passed,"",basic.comment,
"Click element(""@text='Update'"")",164,240,Passed,"",ft.action,
"Think: 2.303 (sec).",,2318,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:0:AP1:effectiveDate::content'"")",,223,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:0:AP1:actionsName1::content'"")",,216,Passed,"",ft.action,
"Think: 2.303 (sec).",,2322,Passed,"",basic.comment,
"Click element(""@text='Assignment Change'"")",,211,Passed,"",ft.action,
"Think: 1.443 (sec).",,1466,Passed,"",basic.comment,
"Click element(""@text='K'"")",170,198,Passed,"",ft.action,
"Think: 3.736 (sec).",,3758,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:inputText1::content'"")",,231,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:inputText1::content'"") 40",,73,Passed,"",ft.action,
"Think: 1 (sec).",,1013,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:selectOneChoice6::content'"")",,225,Passed,"",ft.action,
"Think: 1.208 (sec).",,1222,Passed,"",basic.comment,
"Click element(""@text='Weekly'"")",,214,Passed,"",ft.action,
"Click element(""@oats_inject_js='1'"")",185,199,Passed,"",ft.action,
"Think: 1.235 (sec).",,1253,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:kf2CS::content'"")",,231,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:kf2CS::content'"") No.No.100.Eastern Expat",,74,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:kf2CS::content'"")",,220,Passed,"",ft.action,
"Think: 1 (sec).",,1017,Passed,"",basic.comment,
"Click element(""@text='Review'"")",,207,Passed,"",ft.action,
"Think: 10 (sec).",,10018,Passed,"",basic.comment,
"Info",,0,Passed,"Comments: Error Encounterd, hence screen shot attached below..",basic.comment,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-05-25&_afrLoop=7072957972704833&pAssignmentId=300000004697661&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonId...",,1378,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click button(""@text='OK'"")",,212,Passed,"",ft.action,
"Think: 4.118 (sec).",,4136,Passed,"",basic.comment,
"Click link(""@text='Submit'"")",187,294,Passed,"",ft.action,
"Think: 4.118 (sec).",,4141,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:2:AP1:tt1:okWarningDialog'"")",,216,Passed,"",ft.action,
"Think: 10 (sec).",,10021,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:2:AP1:tt1:okConfirmationDialog'"")",,220,Passed,"",ft.action,
"Think: 3.896 (sec).",,3913,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_UIShome::icon'"")",,195,Passed,"",ft.action,
"Think: 2.444 (sec).",,2467,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,1268,Passed,"",ft.action,
"Click link(""@text='Person Management'"")",,217,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&_afrLoop=7073016174807110&_afrWindowMode=0&_afrWindowId=ek26uhwdu&_adf.ctrl-state=kmkye2naq_186&_afrFS=16&_afrMT=screen&_...",,2153,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2465,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,235,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")  ",,76,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value10::content'"")",,236,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value10::content'"") 100285",,95,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,235,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") ",,67,Passed,"",ft.action,
"Think: 0.546 (sec).",,566,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,227,Passed,"",ft.action,
"Think: 1.214 (sec).",,1230,Passed,"",basic.comment,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=7073020256540391&_afrWindowMode=0&_afrWindowI...",,1028,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:table1:_ATp:table2:0:gl1'"")",,209,Passed,"",ft.action,
"Think: 2.444 (sec).",,2461,Passed,"",basic.comment,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=7073020256540391&_afrWindowMode=0&_afrWindowI...",205,1455,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2458,Passed,"",basic.comment,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=7073020256540391&_afrWindowMode=0&_afrWindowI...",,1026,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2462,Passed,"",basic.comment,
"focus",,191,Passed,"",ft.action,
"Think: 0.139 (sec).",,158,Passed,"",basic.comment,
"focus",,197,Passed,"",ft.action,
"Think: 0.09 (sec).",,108,Passed,"",basic.comment,
"focus",195,211,Passed,"",ft.action,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=7073020256540391&_afrWindowMode=0&_afrWindowI...",,1060,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,35,Passed,"",basic.finish,
