47899,1,HCM_HousingProofCertificate_0174,2/08/2021 15:29:42 PM,0,Failed,2/08/2021 15:28:54 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3073,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.146",,2706,Passed,"",basic.step,
"Iteration Total (sec)",,44440,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,78,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,26,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DcrJmgDqx5286jmq4Qa4b%2FVTGJzpgzmRH%2BVsKF5t2G4h98iQFtJH4%2BOZoVjispUpclFhC4SOcrk3lgWoCTsecReyVOxdb208K0tljBFOeUuxMEn9aDuKxqXWHjGV8i0BMpGGYzL8yOLWN...",,7368,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,75,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,280,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,62,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,207,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DcrJmgDqx5286jmq4Qa4b%2FVTGJzpgzmRH%2BVsKF5t2G4h98iQFtJH4%2BOZoVjispUpclFhC4SOcrk3lgWoCTsecReyVOxdb208K0tljBFOeUuxMEn9aDuKxqXWHjGV8i0BMpGGYzL8yOLWN...",,1366,Passed,"",web.pageComplete,
"focus",,1244,Passed,"",ft.action,
"Think: 1.147 (sec).",,1185,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,50,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=7cgkx8clm_5&_afrLoop=23162618458930062&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1488,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3171,Passed,"",basic.comment,
"focus",,179,Passed,"",ft.action,
"Think: 0.147 (sec).",,170,Passed,"",basic.comment,
"Click link(""@text='Letters and Certificates'"")",,207,Passed,"",ft.action,
"Think: 3.147 (sec).",,3161,Passed,"",basic.comment,
"Click link(""@text='Housing Proof Certificate'"")",,191,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",184,5216,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Housing%20Proof%20Certificate/Report/Housing%20Proof%20Certificate.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%2FH...",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/transparent.html)",,0,Passed,"",web.frame,
"Think: 2.068 (sec).",,2086,Passed,"",basic.comment,
"Click link(""@text='Housing Proof_Arabic'"")",,230,Passed,"",ft.action,
"Think: 1.987 (sec).",,2006,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,216,Passed,"",ft.action,
"Think: 3.752 (sec).",,3771,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",184,8495,Passed,"",web.capPage,
"Finish Total (sec)",,44,Failed,"Variable ""obj.HCM_HousingProofCertificate_0174.EmploymentCertificate_Windows"" not found for string: {{obj.HCM_HousingProofCertificate_0174.EmploymentCertificate_Windows}}",basic.finish,
