68168,1,HCM_ExperienceCertificate_Experience_English_Arbic_0176,2/18/2021 12:12:11 PM,0,Passed,2/18/2021 12:11:03 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3580,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.182",,3095,Passed,"",basic.step,
"Iteration Total (sec)",,63109,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,107,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,25,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DFRoRnoOJ6gJmQZ2GivxbC3DKh40%2FNJgfQg%2BdWSFRHaKXNZBL%2BXXrRXlHwI%2FUR9K5mBQ4plilI8bLXW%2FjuUMvRjAIF4zL7OXs5sdOSCZcQnwWTFtv3CgU51NkMGJIZjad1Eci2ffu...",,7777,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,72,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,244,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,76,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,220,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DFRoRnoOJ6gJmQZ2GivxbC3DKh40%2FNJgfQg%2BdWSFRHaKXNZBL%2BXXrRXlHwI%2FUR9K5mBQ4plilI8bLXW%2FjuUMvRjAIF4zL7OXs5sdOSCZcQnwWTFtv3CgU51NkMGJIZjad1Eci2ffu...",,1364,Passed,"",web.pageComplete,
"focus",,1255,Passed,"",ft.action,
"Think: 1.147 (sec).",,1184,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,53,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=hmeh4wd86_5&_afrLoop=24014749836372672&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1515,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3179,Passed,"",basic.comment,
"focus",,195,Passed,"",ft.action,
"Think: 0.147 (sec).",,166,Passed,"",basic.comment,
"Click link(""@text='Letters and Certificates'"")",,214,Passed,"",ft.action,
"Think: 3.147 (sec).",,3162,Passed,"",basic.comment,
"Click link(""@text='Experience Certificate'"")",,202,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,5539,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Experience%20and%20Service%20Certificate/Report/Experience%20Certificate.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCust...",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/transparent.html)",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/transparent.html)",,0,Passed,"",web.frame,
"Click link(""@text='Experience_English_Arab...'"")",,226,Passed,"",ft.action,
"Think: 1.893 (sec).",,1914,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,220,Passed,"",ft.action,
"Think: 5.935 (sec).",,5955,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,8571,Passed,"",web.capPage,
"Click link(""@text='Experience_English'"")",,208,Passed,"",ft.action,
"Think: 2.486 (sec).",,2503,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,214,Passed,"",ft.action,
"Think: 5.935 (sec).",,5950,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,8510,Passed,"",web.capPage,
"Finish Total (sec)",,1078,Passed,"",basic.finish,
"closeBrowser",165,51,Passed,"",ft.action,
"Think: 0.771 (sec).",,790,Passed,"",basic.comment,
"closeBrowser",640,40,Passed,"",ft.action,
