52456,1,HCM_GenerateEmployeeAttritionReport_0183,2/26/2021 23:25:50 PM,0,Passed,2/26/2021 23:24:58 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3204,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.190",,2876,Passed,"",basic.step,
"Iteration Total (sec)",,47908,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,69,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,25,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DSccellecYFcSqhNRERTyxVCdCxAXpsBkI0rOkLc%2B5jcA4DHYyTZupSIsS8b6r%2BTUJ%2BzFo3pdZw3U%2FpKo3DZGhZkoVkTSJcOJ2Ux6Bmyc8RqTfB6ozd2n5LRLbDpEqpSaYr%2FUdhCI...",,6952,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,63,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,248,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,73,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,223,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DSccellecYFcSqhNRERTyxVCdCxAXpsBkI0rOkLc%2B5jcA4DHYyTZupSIsS8b6r%2BTUJ%2BzFo3pdZw3U%2FpKo3DZGhZkoVkTSJcOJ2Ux6Bmyc8RqTfB6ozd2n5LRLbDpEqpSaYr%2FUdhCI...",,1350,Passed,"",web.pageComplete,
"focus",,2307,Passed,"",ft.action,
"Think: 1.147 (sec).",,1169,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,56,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=l00p27bad_5&_afrLoop=24746382628850307&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1511,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3175,Passed,"",basic.comment,
"focus",,181,Passed,"",ft.action,
"Think: 0.147 (sec).",,164,Passed,"",basic.comment,
"Click link(""@text='ER Reports'"")",,217,Passed,"",ft.action,
"Think: 3.147 (sec).",,3161,Passed,"",basic.comment,
"Click link(""@text='Employee Attrition Report'"")",,212,Passed,"",ft.action,
"Think: 3.096 (sec).",,3109,Passed,"",basic.comment,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,4657,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Employee%20Attrition%20Detail%20Report/Report/Employee%20Attrition%20Detail%20Report.xdo?_xpf=&_xpt=0&_xmode=2&...",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/viewer.jsp?debug=false)",,0,Passed,"",web.frame,
"Click button(""@id='reportViewApply'"")",,3450,Passed,"",ft.action,
"Think: 10 (sec).",,10014,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",165,3816,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Employee%20Attrition%20Detail%20Report/Report/Employee%20Attrition%20Detail%20Report.xdo?_xpf=&_xpt=0&_xmode=2&...",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/viewer.jsp?debug=false)",,0,Passed,"",web.frame,
"Finish Total (sec)",,1068,Passed,"",basic.finish,
"Info",,1,Passed,"Comments: Employee Attrition Detail Report - Oracle BI Publisher",basic.comment,
"closeBrowser",165,39,Passed,"",ft.action,
"Think: 0.771 (sec).",,794,Passed,"",basic.comment,
"closeBrowser",640,48,Passed,"",ft.action,
