61558,1,HCM_GeneratePerformanceRatingReport_0181,2/20/2021 16:31:45 PM,0,Failed,2/20/2021 16:30:44 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3287,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.182",,2797,Passed,"",basic.step,
"Iteration Total (sec)",,57915,Failed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,77,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,28,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dxfl6Z1GZrpAbhZZUwdD7VnzpoGN1a0uz0ZiRy0lzvlaZx3swVg2lWUCRC1f1xtyCm46dA3RrHwGA94cdjDA%2FiuSfPSwXzE7cLZ7PvJzS2m%2BQrN697DydxKDfOX8IDJ3%2BlRfZAJZT940U...",,7750,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,70,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,413,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,71,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,215,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dxfl6Z1GZrpAbhZZUwdD7VnzpoGN1a0uz0ZiRy0lzvlaZx3swVg2lWUCRC1f1xtyCm46dA3RrHwGA94cdjDA%2FiuSfPSwXzE7cLZ7PvJzS2m%2BQrN697DydxKDfOX8IDJ3%2BlRfZAJZT940U...",,1391,Passed,"",web.pageComplete,
"focus",,2320,Passed,"",ft.action,
"Think: 1.147 (sec).",,1174,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,51,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=wopa2d5b4_5&_afrLoop=24203128278202977&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1602,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3175,Passed,"",basic.comment,
"focus",,179,Passed,"",ft.action,
"Think: 0.147 (sec).",,175,Passed,"",basic.comment,
"Click link(""@text='ER Reports'"")",,206,Passed,"",ft.action,
"Think: 3.147 (sec).",,3168,Passed,"",basic.comment,
"Click link(""@text='Performance Rating Report'"")",,207,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,5340,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Performance%20Rating%20Report/Report/Performance%20Rating%20Report.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%2FH...",,0,Passed,"",web.frame,
"Think: 2.096 (sec).",,2126,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,815,Passed,"",ft.action,
"Think: 10 (sec).",,10031,Passed,"",basic.comment,
"CapturePage",,14660,Failed,"Failed to get a response after sending the message: <Message name=""CapturePage""><Parameter WindowIndex=""1""></Parameter></Message>.",ft.action,
"Finish Total (sec)",,46,Failed,"",basic.finish,
"Failed to playback",,59,Failed,"Failed to playback: No browser launched.",ft.action,
