44467,1,HCM_GeneratePerformanceRatingReport_0181,2/20/2021 16:36:11 PM,0,Passed,2/20/2021 16:35:26 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3127,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.182",,2756,Passed,"",basic.step,
"Iteration Total (sec)",,40016,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,70,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,24,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DktG2Mab7vNgTtkdZFxnEqHVwauQ%2BfZTnYIZkNbEs4lPDOTWCYV5%2Bd1IWOZHspmAJBkjoa6i7ed5EGtib7iZWeBW4VrvJtQkT%2BVWStoHMxD2BtZi7B0uAJKp0FIRGxFSMc6TMl2UJHJmA...",,8587,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,65,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,260,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,83,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,247,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DktG2Mab7vNgTtkdZFxnEqHVwauQ%2BfZTnYIZkNbEs4lPDOTWCYV5%2Bd1IWOZHspmAJBkjoa6i7ed5EGtib7iZWeBW4VrvJtQkT%2BVWStoHMxD2BtZi7B0uAJKp0FIRGxFSMc6TMl2UJHJmA...",,1371,Passed,"",web.pageComplete,
"focus",,2269,Passed,"",ft.action,
"Think: 1.147 (sec).",,1177,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,61,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=qfuk6lt4r_5&_afrLoop=24203411097443155&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1469,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3166,Passed,"",basic.comment,
"focus",,178,Passed,"",ft.action,
"Think: 0.147 (sec).",,169,Passed,"",basic.comment,
"Click link(""@text='ER Reports'"")",,207,Passed,"",ft.action,
"Think: 3.147 (sec).",,3164,Passed,"",basic.comment,
"Click link(""@text='Performance Rating Report'"")",,234,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,5251,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Performance%20Rating%20Report/Report/Performance%20Rating%20Report.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%2FH...",,0,Passed,"",web.frame,
"Think: 5.096 (sec).",,5117,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,1547,Passed,"",ft.action,
"Think: 3.252 (sec).",,3278,Passed,"",basic.comment,
"Finish Total (sec)",,1057,Passed,"",basic.finish,
"closeBrowser",165,38,Passed,"",ft.action,
"Think: 0.771 (sec).",,794,Passed,"",basic.comment,
"closeBrowser",640,47,Passed,"",ft.action,
