53325,1,HCM_GenerateTimeAttendanceReport_0182,2/26/2021 23:32:26 PM,0,Failed,2/26/2021 23:31:32 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3114,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.190",,2796,Passed,"",basic.step,
"Iteration Total (sec)",,49892,Failed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,65,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,20,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DONm4R6eRjwkvgiLOnNenDsmokhTrEiLGS7jUt0YEKDr9RMaAZNZeu7HpNnhnApQynOcLdR82xC7ECUcLnZvCry2MMw9ouqLr9h%2FoSsNnNzEXlYEk7HMuqzHdKWKMLfPiQxR%2FCGJVgIm456...",,6555,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,70,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,261,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,65,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,220,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DONm4R6eRjwkvgiLOnNenDsmokhTrEiLGS7jUt0YEKDr9RMaAZNZeu7HpNnhnApQynOcLdR82xC7ECUcLnZvCry2MMw9ouqLr9h%2FoSsNnNzEXlYEk7HMuqzHdKWKMLfPiQxR%2FCGJVgIm456...",,1356,Passed,"",web.pageComplete,
"focus",,1250,Passed,"",ft.action,
"Think: 1.147 (sec).",,1168,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,50,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=f4pvclwj8_5&_afrLoop=24746776892925964&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1500,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3175,Passed,"",basic.comment,
"focus",,182,Passed,"",ft.action,
"Think: 0.147 (sec).",,166,Passed,"",basic.comment,
"Click link(""@text='ER Reports'"")",,204,Passed,"",ft.action,
"Think: 3.147 (sec).",,3157,Passed,"",basic.comment,
"Click link(""@text='Time Attendance Report'"")",,207,Passed,"",ft.action,
"Think: 3.096 (sec).",,3109,Passed,"",basic.comment,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,4263,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Time%20and%20Attendance%20Report/Report/Time%20Attendance%20Report.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%2FH...",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/transparent.html)",,0,Passed,"",web.frame,
"Click button(""@id='reportViewApply'"")",,221,Passed,"",ft.action,
"Think: 10 (sec).",,10011,Passed,"",basic.comment,
"CapturePage",,10840,Failed,"Failed to get a response after sending the message: <Message name=""CapturePage""><Parameter WindowIndex=""1""></Parameter></Message>.",ft.action,
"Finish Total (sec)",,39,Failed,"",basic.finish,
"Failed to playback",,58,Failed,"Failed to playback: No browser launched.",ft.action,
