49715,1,HCM_Hiring an Employee_0129,12/01/2020 19:15:29 PM,0,Failed,12/01/2020 19:14:39 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4962,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,4355,Passed,"",basic.step,
"Iteration Total (sec)",,44038,Failed,"Failed to get a response after sending the message: <Message name=""GetChildren""><Parameter WindowIndex=""0""></Parameter><Parameter ParentID=""0""></Parameter><Parameter ElementType=""document""></Parameter><Parameter tag=""a""></Parameter><RequiredAttribute name=""id"" logic=""OR"" value=""pt1:commandLink1"" operator=""EQUALS""></RequiredAttribute><RequiredAttribute name=""text"" logic="""" value=""You have a new home page!"" operator=""EQUALS""></RequiredAttribute></Message>.",basic.iteration,
"Maximize window(""@index='0'"")",,128,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,58,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DOZ%2BXkw7KtOR0AyFi5Z4LRj8maPzB887lz%2FD6WJOeqvrWHruC2gOSaxblV2AYfuxpHDXC%2FhV%2B92ckk6WwdE2xXbkv9zqOXo%2B4B1zsJrgh%2F8X9ii6gnxFVrPn%2F3WDpY3vs6PU%...",,7526,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,82,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,280,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,81,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,228,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DOZ%2BXkw7KtOR0AyFi5Z4LRj8maPzB887lz%2FD6WJOeqvrWHruC2gOSaxblV2AYfuxpHDXC%2FhV%2B92ckk6WwdE2xXbkv9zqOXo%2B4B1zsJrgh%2F8X9ii6gnxFVrPn%2F3WDpY3vs6PU%...",,1471,Passed,"",web.pageComplete,
"Finish Total (sec)",,94,Failed,"",basic.finish,
"Failed to playback",,133,Failed,"Failed to playback: No browser launched.",ft.action,
