253789,1,HCM_Hiring an Employee_0129,1/14/2021 12:28:31 PM,0,Passed,1/14/2021 12:24:14 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,13568,Passed,"",basic.init,
"Launch Browser: Chrome 87.0.4280.141",,12399,Passed,"",basic.step,
"Iteration Total (sec)",,239008,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,288,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,133,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DhEKZy3W9psqiihunlVdWjfnhO6weIexGs9NPh4TSi2esGeQxBDSJeU4LUd%2BwRsSO3F3VSSehxn2YT2sFd3y6AV18b04iT1k4dfn3LP4t89IBCvtZgFtYnN1B7akW1jMFEE9rSj%2BxHFeUUL...",,7562,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,135,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,495,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,122,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,321,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DhEKZy3W9psqiihunlVdWjfnhO6weIexGs9NPh4TSi2esGeQxBDSJeU4LUd%2BwRsSO3F3VSSehxn2YT2sFd3y6AV18b04iT1k4dfn3LP4t89IBCvtZgFtYnN1B7akW1jMFEE9rSj%2BxHFeUUL...",,1743,Passed,"",web.pageComplete,
"focus",,2150,Passed,"",ft.action,
"Think: 1.147 (sec).",,1238,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,150,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=exn3kfavk_5&_afrLoop=20991554347799331&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,2205,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3210,Passed,"",basic.comment,
"focus",,252,Passed,"",ft.action,
"Think: 0.147 (sec).",,204,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,257,Passed,"",ft.action,
"Think: 3.147 (sec).",,3203,Passed,"",basic.comment,
"Click link(""@id='itemNode_workforce_management_new_person_0'"")",,302,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=20991559310374663&_adf.ctrl-state=exn3kfavk_81",,5981,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3188,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTsr1:0:cl01Upl:UPsp1:cl01Pce:cl01Lv:1:cl01Pse:cl01Cl'"")",,106,Passed,"",ft.action,
"Think: 5.796 (sec).",,5854,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:inputDate1::content'"")",,269,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:inputDate1::content'"") 20-Oct-2020",,188,Passed,"",ft.action,
"Think: 0.49 (sec).",,535,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice1::drop'"")",,483,Passed,"",ft.action,
"Think: 0.077 (sec).",,139,Passed,"",basic.comment,
"Click element(""@text='Hire'"")",,277,Passed,"",ft.action,
"Think: 0.98 (sec).",,1016,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice2::drop'"")",,288,Passed,"",ft.action,
"Think: 0.192 (sec).",,236,Passed,"",basic.comment,
"Click element(""@text='Hire to fill vacant position'"")",,217,Passed,"",ft.action,
"Think: 0.361 (sec).",,403,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::lovIconId'"")",,370,Passed,"",ft.action,
"Think: 2.512 (sec).",,2566,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::dropdownPopup::popupsearch'"")",,331,Passed,"",ft.action,
"Think: 3.09 (sec).",,3140,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::_afrLovInternalQueryId:value00::content'"")",,299,Passed,"",ft.action,
"Think: 0.79 (sec).",,826,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::_afrLovInternalQueryId:value00::content'"") ma'aden legal employer",,146,Passed,"",ft.action,
"Think: 0.711 (sec).",,763,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::_afrLovInternalQueryId:value10::content'"")",,274,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::_afrLovInternalQueryId:value10::content'"") sa",,118,Passed,"",ft.action,
"Think: 0.77 (sec).",,812,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::_afrLovInternalQueryId::search'"")",,275,Passed,"",ft.action,
"Think: 3.348 (sec).",,3399,Passed,"",basic.comment,
"Click element(""@text=""Ma&apos;aden Legal Employer"""")",,286,Passed,"",ft.action,
