101068,1,HCM_Hiring an Employee_0129,12/01/2020 22:06:03 PM,0,Failed,12/01/2020 22:04:21 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,6225,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,5293,Passed,"",basic.step,
"Iteration Total (sec)",,94008,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,153,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,61,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DXc1v%2BqZafuuwu1H17yA08Xvr7j%2FeD4Zo7%2F8J9rImuGZ2%2BWGA68Xq4gcO3LNtzMJI%2FAuf1RVgDTEO4Hx2PO5ARnMPXAo4uBlaKJNrKCufo8SJo%2FGaRA1ue7Dw2EH8MkjOG9BbfB...",,7066,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,82,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,271,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,73,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,224,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DXc1v%2BqZafuuwu1H17yA08Xvr7j%2FeD4Zo7%2F8J9rImuGZ2%2BWGA68Xq4gcO3LNtzMJI%2FAuf1RVgDTEO4Hx2PO5ARnMPXAo4uBlaKJNrKCufo8SJo%2FGaRA1ue7Dw2EH8MkjOG9BbfB...",,1464,Passed,"",web.pageComplete,
"focus",,2531,Passed,"",ft.action,
"Think: 1.147 (sec).",,1188,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,58,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=frjbdcl28_5&_afrLoop=17224752082542848&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1686,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3192,Passed,"",basic.comment,
"focus",,199,Passed,"",ft.action,
"Think: 0.147 (sec).",,174,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,215,Passed,"",ft.action,
"Think: 0.147 (sec).",,168,Passed,"",basic.comment,
"Click link(""@id='itemNode_workforce_management_new_person_0'"")",,220,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=17224756092499182&_adf.ctrl-state=frjbdcl28_81",,3174,Passed,"",web.pageComplete,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTsr1:0:cl01Upl:UPsp1:cl01Pce:cl01Lv:1:cl01Pse:cl01Cl'"")",,80,Passed,"",ft.action,
"Think: 5.796 (sec).",,5823,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:inputDate1::content'"")",,235,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:inputDate1::content'"") 20-Oct-2020",,106,Passed,"",ft.action,
"Think: 0.49 (sec).",,512,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice1::drop'"")",,359,Passed,"",ft.action,
"Think: 0.077 (sec).",,101,Passed,"",basic.comment,
"Click element(""@text='Hire'"")",,217,Passed,"",ft.action,
"Think: 0.98 (sec).",,1005,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice2::drop'"")",,220,Passed,"",ft.action,
"Think: 0.192 (sec).",,215,Passed,"",basic.comment,
"Click element(""@text='Hire to fill vacant position'"")",,195,Passed,"",ft.action,
"Think: 0.361 (sec).",,395,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::lovIconId'"")",,274,Passed,"",ft.action,
"Think: 2.512 (sec).",,2531,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::dropdownPopup::popupsearch'"")",,234,Passed,"",ft.action,
"Think: 3.09 (sec).",,3123,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::_afrLovInternalQueryId:value00::content'"")",,283,Passed,"",ft.action,
"Think: 0.79 (sec).",,813,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::_afrLovInternalQueryId:value00::content'"") ma'aden legal employer",,90,Passed,"",ft.action,
"Think: 0.711 (sec).",,746,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::_afrLovInternalQueryId:value10::content'"")",,240,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::_afrLovInternalQueryId:value10::content'"") sa",,74,Passed,"",ft.action,
"Think: 0.77 (sec).",,791,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::_afrLovInternalQueryId::search'"")",,249,Passed,"",ft.action,
"Think: 3.348 (sec).",,3370,Passed,"",basic.comment,
"Click element(""@text=""Ma&apos;aden Legal Employer"""")",,232,Passed,"",ft.action,
"Think: 0.149 (sec).",,170,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:selectOneChoice3::lovDialogId::ok'"")",,236,Passed,"",ft.action,
"Think: 0.149 (sec).",,171,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r1:0:r1:0:i1:4:selectOneChoice4::drop'"")",,268,Passed,"",ft.action,
"Think: 3.654 (sec).",,3680,Passed,"",basic.comment,
"Click element(""@text='Mr.'"")",,217,Passed,"",ft.action,
"Think: 0.345 (sec).",,381,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r1:0:r1:0:i1:5:it60::content'"")",,233,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r1:0:r1:0:i1:5:it60::content'"") Samir",,92,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r1:0:r1:0:i1:6:it51::content'"") ",,82,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r1:0:r1:0:i1:7:it48::content'"") ",,75,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r1:0:r1:0:i1:8:it20::content'"") Watson",,67,Passed,"",ft.action,
"Think: 0.39 (sec).",,411,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r1:0:soc3::drop'"")",,269,Passed,"",ft.action,
"Think: 0.986 (sec).",,1016,Passed,"",basic.comment,
"Click element(""@text='Male'"")",,246,Passed,"",ft.action,
"Think: 0.746 (sec).",,770,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r1:0:id3::content'"") 28-Jun-1976",,76,Passed,"",ft.action,
"Think: 1.98 (sec).",,2017,Passed,"",basic.comment,
"Click image(""@alt='Add Row'"")",,252,Passed,"",ft.action,
"Think: 0.869 (sec).",,892,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r2:0:AT2:_ATp:table2:0:iclov1::lovIconId'"")",,244,Passed,"",ft.action,
"Think: 2.155 (sec).",,2180,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r2:0:AT2:_ATp:table2:0:iclov1::dropdownPopup::popupsearch'"")",,246,Passed,"",ft.action,
"Think: 3.547 (sec).",,3568,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r2:0:AT2:_ATp:table2:0:iclov1::_afrLovInternalQueryId:value00::content'"") India",,68,Passed,"",ft.action,
"Think: 0.801 (sec).",,838,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r2:0:AT2:_ATp:table2:0:iclov1::_afrLovInternalQueryId:value00::content'"")",,205,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r2:0:AT2:_ATp:table2:0:iclov1::_afrLovInternalQueryId::search'"")",,211,Passed,"",ft.action,
"Think: 2.971 (sec).",,3005,Passed,"",basic.comment,
"Click element(""@text='India'"")",,256,Passed,"",ft.action,
"Think: 1.444 (sec).",,1474,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r2:0:AT2:_ATp:table2:0:iclov1::lovDialogId::ok'"")",,226,Passed,"",ft.action,
"Think: 2.787 (sec).",,2830,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r2:0:AT2:_ATp:table2:0:soc2::drop'"")",,220,Passed,"",ft.action,
"Think: 1.641 (sec).",,1671,Passed,"",basic.comment,
"Click element(""@text='National Identifier'"")",,240,Passed,"",ft.action,
"Think: 0.108 (sec).",,128,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:NewPe1:0:pt_r2:0:AT2:_ATp:table2:0:it1::content'"") 0002",,82,Passed,"",ft.action,
"Think: 1.617 (sec).",,1650,Passed,"",basic.comment,
"Click element(""@text='Next'"")",,217,Passed,"",ft.action,
"focus",,228,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Warning message shown as NID is previously allocate to other employee. Screenshot attached below.",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_new_person&_afrLoop=17224762832858744&_afrWindowMode=0&_afrWindowId=jp77...",,1461,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:0:SP1:cb1'"")",,217,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:1:SP1:Perso2:0:Perso1:0:Maint1:0:countrylov::content'"")",,1622,Passed,"",ft.action,
"Think: 0.896 (sec).",,931,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:pt_r1:1:SP1:Perso2:0:Perso1:0:Maint1:0:countrylov::lovIconId'"")",,307,Passed,"",ft.action,
"Think: 3.012 (sec).",,3036,Passed,"",basic.comment,
"Failed to playback",,19,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,95,Failed,"",basic.finish,
"Failed to playback",,168,Failed,"Failed to playback: No browser launched.",ft.action,
