94897,1,HCM_EmbassyCertificate_With_Total_Salary_0173,2/08/2021 14:04:00 PM,0,Failed,2/08/2021 14:02:25 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3089,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.146",,2633,Passed,"",basic.step,
"Iteration Total (sec)",,73218,Failed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,85,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,25,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DaW27QHuVNbwYgpwubYOs9FF2SsrQM8LQagVFB%2BZooGy%2FB73r7h9dlQZP5WUZ3%2FbEtCmbcxFnkd7CLibVMY0pA%2BoaPxqrQ%2B2iTjoqMlY%2F5zy7ULu6%2BcR4z%2FVj1iUf1VOrsF...",,8371,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,72,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,256,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,70,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,204,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DaW27QHuVNbwYgpwubYOs9FF2SsrQM8LQagVFB%2BZooGy%2FB73r7h9dlQZP5WUZ3%2FbEtCmbcxFnkd7CLibVMY0pA%2BoaPxqrQ%2B2iTjoqMlY%2F5zy7ULu6%2BcR4z%2FVj1iUf1VOrsF...",,1431,Passed,"",web.pageComplete,
"Find Object",,61084,Failed,"Find Object timeout. Detail information:{{obj.HCM_EmbassyCertificate_With_Total_Salary_0173.You have a new home page!}} = /web:window[@index='0' or @title='Oracle Applications']/web:document[@index='0' or @name='1avpgi6qtw']/web:a[@id='pt1:commandLink1' or @text='You have a new home page!'].",ft.action,
"Finish Total (sec)",,18291,Failed,"",basic.finish,
"Failed to playback",,18395,Failed,"Failed to playback: No browser launched.",ft.action,
