53142,1,HCM_EmbassyCertificate_With_Total_Salary_0173,2/08/2021 14:05:02 PM,0,Passed,2/08/2021 14:04:09 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3026,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.146",,2693,Passed,"",basic.step,
"Iteration Total (sec)",,47764,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,92,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,26,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DikzanzafK57zI6Jl7KdyYtQ9kll%2B1c5Jx%2BYYB8och%2FwkWxb189RLb63EOjj1d6JNBTVlPy3imgreFVwcKtZ2t%2FSuIHLxhFURWiz1qIK9WOo1ozkd7hgfXhmiZba25mKvCGnDR4hMbD...",,8398,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,81,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,255,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,100,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,225,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DikzanzafK57zI6Jl7KdyYtQ9kll%2B1c5Jx%2BYYB8och%2FwkWxb189RLb63EOjj1d6JNBTVlPy3imgreFVwcKtZ2t%2FSuIHLxhFURWiz1qIK9WOo1ozkd7hgfXhmiZba25mKvCGnDR4hMbD...",,1346,Passed,"",web.pageComplete,
"focus",,2290,Passed,"",ft.action,
"Think: 1.147 (sec).",,1172,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,53,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=ie8774840_5&_afrLoop=23157534343055616&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1570,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3169,Passed,"",basic.comment,
"focus",,210,Passed,"",ft.action,
"Think: 0.147 (sec).",,170,Passed,"",basic.comment,
"Click link(""@text='Letters and Certificates'"")",,194,Passed,"",ft.action,
"Think: 3.147 (sec).",,3165,Passed,"",basic.comment,
"DoubleClick link(""@text='Employment Certificate'"")",,48,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",165,5300,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Employment%20Certificate/Report/Employment%20Certificate.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%2FHuman%20Cap...",,0,Passed,"",web.frame,
"Think: 3.791 (sec).",,3813,Passed,"",basic.comment,
"Click link(""@text='Employment_English'"")",,217,Passed,"",ft.action,
"Think: 0.029 (sec).",,52,Passed,"",basic.comment,
"Click element(""@text=' '"")",,191,Passed,"",ft.action,
"Think: 1.398 (sec).",,1413,Passed,"",basic.comment,
"Click element(""@id='xdo:xdo:_paramsP_Include_sal_div_li_1'"")",,217,Passed,"",ft.action,
"Click button(""@id='reportViewApply'"")",,239,Passed,"",ft.action,
"Think: 2.871 (sec).",,2888,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",165,8486,Passed,"",web.capPage,
"Finish Total (sec)",,2073,Passed,"",basic.finish,
"closeBrowser",165,39,Passed,"",ft.action,
"Think: 1.771 (sec).",,1796,Passed,"",basic.comment,
"closeBrowser",640,35,Passed,"",ft.action,
