49453,1,HCM_HousingProofCertificate_0174,2/08/2021 15:31:21 PM,0,Passed,2/08/2021 15:30:31 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3228,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.146",,2907,Passed,"",basic.step,
"Iteration Total (sec)",,44893,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,76,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,19,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DICToOr9tV4%2FPxs2jsQ4QSU0%2BWZb9gyeOdgFIN4f7TABv917tD4QeTBeLiBzpeJ0cRr7YkaDIwPRjIZRx0oVZZUuIN1sjrvfN5nzIxx2unc2FQy%2F5tc%2BpsmVk3HkLAM0bERDElhYusW...",,7937,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,71,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,269,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,66,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,209,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DICToOr9tV4%2FPxs2jsQ4QSU0%2BWZb9gyeOdgFIN4f7TABv917tD4QeTBeLiBzpeJ0cRr7YkaDIwPRjIZRx0oVZZUuIN1sjrvfN5nzIxx2unc2FQy%2F5tc%2BpsmVk3HkLAM0bERDElhYusW...",,1348,Passed,"",web.pageComplete,
"focus",,1275,Passed,"",ft.action,
"Think: 1.147 (sec).",,1168,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,48,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=18z5eahder_5&_afrLoop=23162716495803445&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_af...",,1523,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3174,Passed,"",basic.comment,
"focus",,221,Passed,"",ft.action,
"Think: 0.147 (sec).",,163,Passed,"",basic.comment,
"Click link(""@text='Letters and Certificates'"")",,206,Passed,"",ft.action,
"Think: 3.147 (sec).",,3159,Passed,"",basic.comment,
"Click link(""@text='Housing Proof Certificate'"")",,211,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",184,5243,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Housing%20Proof%20Certificate/Report/Housing%20Proof%20Certificate.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%2FH...",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/transparent.html)",,0,Passed,"",web.frame,
"Think: 2.068 (sec).",,2084,Passed,"",basic.comment,
"Click link(""@text='Housing Proof_Arabic'"")",,219,Passed,"",ft.action,
"Think: 1.987 (sec).",,2011,Passed,"",basic.comment,
"Click button(""@id='reportViewApply'"")",,208,Passed,"",ft.action,
"Think: 3.752 (sec).",,3778,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",184,8487,Passed,"",web.capPage,
"Finish Total (sec)",,1052,Passed,"",basic.finish,
"closeBrowser",165,42,Passed,"",ft.action,
"Think: 0.771 (sec).",,788,Passed,"",basic.comment,
"closeBrowser",640,40,Passed,"",ft.action,
