24535,1,HCM_ImprovedChecklistTransaction_0094,10/07/2020 17:50:05 PM,0,Passed,10/07/2020 17:49:41 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8957,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.121",,8290,Passed,"",basic.step,
"Iteration Total (sec)",,14872,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,202,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,45,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,3487,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,75,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,401,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,59,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,230,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1474,Passed,"",web.pageComplete,
"Think: 2.387 (sec).",,2457,Passed,"",basic.comment,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome",,4542,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,51,Passed,"",basic.finish,
