34908,1,HCM_GenerateEmployeeAttritionReport_0183,2/26/2021 23:24:51 PM,0,Failed,2/26/2021 23:24:16 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,904,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.190",,475,Passed,"",basic.step,
"Iteration Total (sec)",,33620,Failed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,77,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,65,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=24746331211162821&_afrWindowMode=0&_afrWindowId=kkep66khp&_adf.ctrl-state=k1uysy2ao_186&_afrFS=16&_afrMT=screen&_afrMFW=1280&_afrMFH=534&_afrM...",,4568,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Failed to playback",,27853,Failed,"",ft.action,
"setText",,27550,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,63,Failed,"",basic.finish,
"Failed to playback",,65,Failed,"Failed to playback: No browser launched.",ft.action,
