47480,1,HCM_LeaveBalanceReport_0184,2/28/2021 17:16:49 PM,0,Passed,2/28/2021 17:16:01 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4715,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.190",,4347,Passed,"",basic.step,
"Iteration Total (sec)",,41613,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,68,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,33,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DPEnqL9wMmf6n598Tq6DiA4oRI%2FyRyVb3V6PTduedWN8TzIBJB5Nnzdf%2Fffi7hYVma7p8BUjxpfMULl%2Fk3jmLNTCzPqt2r0aQVXBXEFjvmCcY%2FMckT6TcL9KFt5PpLt8qPPwcu6Dl7k...",,10149,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,72,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,268,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,74,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,213,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DPEnqL9wMmf6n598Tq6DiA4oRI%2FyRyVb3V6PTduedWN8TzIBJB5Nnzdf%2Fffi7hYVma7p8BUjxpfMULl%2Fk3jmLNTCzPqt2r0aQVXBXEFjvmCcY%2FMckT6TcL9KFt5PpLt8qPPwcu6Dl7k...",,1374,Passed,"",web.pageComplete,
"focus",,2249,Passed,"",ft.action,
"Think: 1.147 (sec).",,1182,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,52,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=oxe3gblbn_5&_afrLoop=24897051550903185&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1534,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3171,Passed,"",basic.comment,
"focus",,196,Passed,"",ft.action,
"Think: 0.147 (sec).",,168,Passed,"",basic.comment,
"Click link(""@text='ER Reports'"")",,205,Passed,"",ft.action,
"Think: 3.147 (sec).",,3164,Passed,"",basic.comment,
"DoubleClick link(""@text='Leave Balance'"")",,60,Passed,"",ft.action,
"Think: 3.096 (sec).",,3111,Passed,"",basic.comment,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,4318,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Absence/Leave%20Balance%20Report/Report/Leave%20Balance%20Report.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%2FHuman%20Capital%20Man...",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/transparent.html)",,0,Passed,"",web.frame,
"DoubleClick button(""@id='reportViewApply'"")",,75,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Report Completed",basic.comment,
"Think: 2.096 (sec).",,2126,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",165,3654,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Absence/Leave%20Balance%20Report/Report/Leave%20Balance%20Report.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%2FHuman%20Capital%20Man...",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/loading.jsp?_xdo=%2FCustom%2FHuman+Capital+Management%2FReports%2FAbsence%2FLeave+Balance+Report%2FReport%2FLeave+Balance+Report.xdo&_id=d8a1cb13-e8f2-41dc-84ff-eaba3614f9e2...",,0,Passed,"",web.frame,
"Finish Total (sec)",,881,Passed,"",basic.finish,
"Info",,0,Passed,"Comments: Leave Balance Report - Oracle BI Publisher",basic.comment,
"Think: 0.771 (sec).",,786,Passed,"",basic.comment,
