64677,1,HCM_Reversing_Termination_WithDrawn_0200,3/17/2021 00:50:24 AM,0,Passed,3/17/2021 00:49:19 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4928,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.82",,4466,Passed,"",basic.step,
"Iteration Total (sec)",,59307,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,146,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,31,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DfapQJ%2FpG7Fq4mekaAoHr0kV%2FWV9bKoSkCBfb%2FZlPy4DyEWDDVeVOUYJqYrDjFVNti8bepJGYI10mw5rIbsskLo7xeQmSdvyfJef2FgIN53EZ%2Bucxm9ITFIapWQg4Y0%2BeBFjEIo%2...",,6583,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,65,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,253,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,73,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,221,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DfapQJ%2FpG7Fq4mekaAoHr0kV%2FWV9bKoSkCBfb%2FZlPy4DyEWDDVeVOUYJqYrDjFVNti8bepJGYI10mw5rIbsskLo7xeQmSdvyfJef2FgIN53EZ%2Bucxm9ITFIapWQg4Y0%2BeBFjEIo%2...",,1345,Passed,"",web.pageComplete,
"focus",,2318,Passed,"",ft.action,
"Think: 1.147 (sec).",,1171,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,60,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=2b7vxqq8a_1&_adf.no-new-window-redirect=true&_afrLoop=1027380333614227&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1511,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3165,Passed,"",basic.comment,
"Click element(""@id='pt1:_UISatr:0:cil1::icon'"")",183,197,Passed,"",ft.action,
"Click button(""@id='pt1:_UISatr:0:cbb1'"")",,1252,Passed,"",ft.action,
"Think: 5.118 (sec).",,5143,Passed,"",basic.comment,
"Click button(""@id='pt1:atkfr1:0:rQuick:1:up1:UPsp1:cb123'"")",,226,Passed,"",ft.action,
"WaitForPage ",171,5131,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/integration/worklistapp/afr/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/integration/worklistapp/faces/home.jspx?_adf.ctrl-state=1bfgbkuutu_5&Adf-Rich-Message=true&unique=1615922393254&oracle.adf.view.rich.STREAM=homePageTemplate:homePageRegion:0:tldc:taskT...",,0,Passed,"",web.frame,
"Think: 2 (sec).",,2017,Passed,"",basic.comment,
"Click link(""@text='Initiated Tasks '"")",,191,Passed,"",ft.action,
"Think: 3.181 (sec).",,3198,Passed,"",basic.comment,
"Click link(""@text='Resignation for Mohammad Mahtab Khan, 5019020 (2022-05-15)'"")",,221,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/integration/worklistapp/faces/adf.task-flow?adf.tfId=taskDetail-task-flow-definition&adf.tfDoc=/WEB-INF/taskDetail-task-flow-definition.xml&taskId=8c657645-eac2-4d5d-9b2a-e81d6f7cece2...",175,8299,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.153 (sec).",,2175,Passed,"",basic.comment,
"Click element(""@index='52'"")",177,316,Passed,"",ft.action,
"Think: 2.598 (sec).",,2612,Passed,"",basic.comment,
"Click element(""@text='Withdraw'"")",,205,Passed,"",ft.action,
"Think: 4.622 (sec).",,4635,Passed,"",basic.comment,
"SetText textArea(""@id='r1:0:bip_up:UPsp1:bip_rpp:0:it_wtdrw::content'"") withdrawn",,68,Passed,"",ft.action,
"Think: 1.486 (sec).",,1504,Passed,"",basic.comment,
"Click link(""@text='Submit'"")",180,193,Passed,"",ft.action,
"Think: 2.462 (sec).",,2476,Passed,"",basic.comment,
"closeBrowser",182,48,Passed,"",ft.action,
"Finish Total (sec)",,146,Passed,"",basic.finish,
"closeBrowser",640,45,Passed,"",ft.action,
