153086,1,HCM_ManageEmployment_AssignmentStatusChange_0157,1/12/2021 12:44:27 PM,0,Passed,1/12/2021 12:41:53 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5773,Passed,"",basic.init,
"Launch Browser: Chrome 87.0.4280.141",,4908,Passed,"",basic.step,
"Iteration Total (sec)",,146518,Passed,"",basic.iteration,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,327,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,59,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DXimteZjXnHhvJh5l8DnaKCj5IQU%2BxconnpOU3ru2LsipGv4lAJE8YgTJi38mi361hQYSqaBGQOQP5RhQnCrJgZERh9NzqVocMWOkF279PmmM4tuEjQ4Hl%2Fml3Lvxn2AWYrjJpq%2FiosRq...",,7127,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,86,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,357,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,104,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,245,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DXimteZjXnHhvJh5l8DnaKCj5IQU%2BxconnpOU3ru2LsipGv4lAJE8YgTJi38mi361hQYSqaBGQOQP5RhQnCrJgZERh9NzqVocMWOkF279PmmM4tuEjQ4Hl%2Fml3Lvxn2AWYrjJpq%2FiosRq...",,1619,Passed,"",web.pageComplete,
"focus",,1701,Passed,"",ft.action,
"Think: 1.147 (sec).",,1200,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,78,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=3tp80umdm_5&_afrLoop=20819805770588035&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1928,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3190,Passed,"",basic.comment,
"focus",,231,Passed,"",ft.action,
"Think: 0.147 (sec).",,194,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,249,Passed,"",ft.action,
"Think: 3.147 (sec).",,3185,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,275,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=20819810391521947&_adf.ctrl-state=3tp80umdm_81",,4264,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2483,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,257,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"") Rina Chand",,84,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,228,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") 10340000000",,84,Passed,"",ft.action,
"Think: 0.546 (sec).",,598,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,220,Passed,"",ft.action,
"Think: 4.214 (sec).",,4248,Passed,"",basic.comment,
"Click element(""@text='Contingent Worker'"")",,237,Passed,"",ft.action,
"Think: 0.076 (sec).",,113,Passed,"",basic.comment,
"Click link(""@text='Syam Bahadur'"")",,275,Passed,"",ft.action,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=20819820133687435&_afrWindowMode=0&_afrWindow...",,1431,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 4.444 (sec).",,4475,Passed,"",basic.comment,
"Click element(""@text='Edit'"")",163,258,Passed,"",ft.action,
"Think: 2.303 (sec).",,2333,Passed,"",basic.comment,
"Click element(""@text='Update'"")",164,337,Passed,"",ft.action,
"Think: 2.303 (sec).",,2345,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:0:AP1:effectiveDate::content'"")",,242,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:0:AP1:effectiveDate::content'"") 04-Jan-2021",,165,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:0:AP1:actionsName1::content'"")",,235,Passed,"",ft.action,
"Think: 2.303 (sec).",,2343,Passed,"",basic.comment,
"Click element(""@text='Assignment Change'"")",,228,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:0:AP1:actionReason::content'"")",,329,Passed,"",ft.action,
"Think: 0.443 (sec).",,475,Passed,"",basic.comment,
"Click element(""@text='K'"")",170,254,Passed,"",ft.action,
"Think: 1.736 (sec).",,1775,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:Assig1:0:selectOneChoice3::content'"")",,1642,Passed,"",ft.action,
"Think: 1 (sec).",,1031,Passed,"",basic.comment,
"Click element(""@text='Active - Payroll Eligible'"")",,248,Passed,"",ft.action,
"Think: 1 (sec).",,1029,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:jobId::content'"")",,270,Passed,"",ft.action,
"Think: 0.3 (sec).",,337,Passed,"",basic.comment,
"Click link(""@index='77'"")",173,310,Passed,"",ft.action,
"Think: 2.567 (sec).",,2602,Passed,"",basic.comment,
"Click link(""@text='Search...'"")",174,354,Passed,"",ft.action,
"Think: 2.824 (sec).",,2863,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:jobId::_afrLovInternalQueryId::reset'"")",,262,Passed,"",ft.action,
"Think: 1.813 (sec).",,1851,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:jobId::_afrLovInternalQueryId:value00::content'"")",,262,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:jobId::_afrLovInternalQueryId:value00::content'"") Trainee",,129,Passed,"",ft.action,
"Think: 0.627 (sec).",,669,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:jobId::_afrLovInternalQueryId::search'"")",,235,Passed,"",ft.action,
"Think: 3.855 (sec).",,3889,Passed,"",basic.comment,
"Click element(""@text='Trainee'"")",179,418,Passed,"",ft.action,
"Think: 1.724 (sec).",,1757,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:jobId::lovDialogId::ok'"")",,260,Passed,"",ft.action,
"Think: 1.855 (sec).",,1891,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:selectOneChoice3::content'"")",,268,Passed,"",ft.action,
"Think: 2 (sec).",,2038,Passed,"",basic.comment,
"Click element(""@text='Shift Group'"")",,242,Passed,"",ft.action,
"Think: 2 (sec).",,2030,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:inputText1::content'"")",,285,Passed,"",ft.action,
"Think: 2 (sec).",,2039,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:JobDe1:0:inputText1::content'"") 41",,119,Passed,"",ft.action,
"Think: 2 (sec).",,2036,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",185,206,Passed,"",ft.action,
"Think: 0.235 (sec).",,275,Passed,"",basic.comment,
"Click element(""@text='Review'"")",,266,Passed,"",ft.action,
"Think: 8.404 (sec).",,8443,Passed,"",basic.comment,
"Click link(""@text='Submit'"")",187,1964,Passed,"",ft.action,
"Think: 4.118 (sec).",,4156,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:2:AP1:tt1:okWarningDialog'"")",,246,Passed,"",ft.action,
"Think: 10 (sec).",,10039,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:2:AP1:tt1:okConfirmationDialog'"")",,247,Passed,"",ft.action,
"Think: 3.896 (sec).",,3943,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_UIShome::icon'"")",,217,Passed,"",ft.action,
"Think: 2.444 (sec).",,2478,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,1393,Passed,"",ft.action,
"Click link(""@text='Person Management'"")",,279,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&_afrLoop=20819914865556663&_afrWindowMode=0&_afrWindowId=1bgg6mwsjp&_adf.ctrl-state=3tp80umdm_186&_afrFS=16&_afrMT=screen...",,3392,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2485,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,250,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"") Rina Chand",,94,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,220,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") 10340000000",,79,Passed,"",ft.action,
"Think: 0.546 (sec).",,579,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,238,Passed,"",ft.action,
"Think: 4.214 (sec).",,4251,Passed,"",basic.comment,
"Click element(""@text='Contingent Worker'"")",,229,Passed,"",ft.action,
"Think: 0.076 (sec).",,115,Passed,"",basic.comment,
"Click link(""@text='Syam Bahadur'"")",,247,Passed,"",ft.action,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=20819919160565834&_afrWindowMode=0&_afrWindow...",,1532,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2485,Passed,"",basic.comment,
"focus",,1440,Passed,"",ft.action,
"Think: 0.139 (sec).",,176,Passed,"",basic.comment,
"focus",,237,Passed,"",ft.action,
"Think: 0.09 (sec).",,130,Passed,"",basic.comment,
"focus",195,219,Passed,"",ft.action,
"Think: 0.09 (sec).",,124,Passed,"",basic.comment,
"focus",,317,Passed,"",ft.action,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-01-12&_afrLoop=20819932628411667&pAssignmentId=300000015018699&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonI...",,1618,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,62,Passed,"",basic.finish,
