54515,1,HCM_EmployeeAssignmentHistoryReport_0187,3/03/2021 17:27:37 PM,0,Failed,3/03/2021 17:26:42 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4565,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.190",,4211,Passed,"",basic.step,
"Iteration Total (sec)",,49619,Failed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,66,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,34,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DmhUnm3njc%2F55sTRlcz5C56PlDU8DHsw0%2Fn3R0v4peTg8ZWlam219%2Fa%2FMhN752cac3OFkqOrb5cosX3JZBQwUZM1xvjgJZDpw5GPVU27qPJ33GwBRU9%2BqxBeCMBYkY7LuNOkQ6vMr...",,7358,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,75,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,241,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,73,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,206,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DmhUnm3njc%2F55sTRlcz5C56PlDU8DHsw0%2Fn3R0v4peTg8ZWlam219%2Fa%2FMhN752cac3OFkqOrb5cosX3JZBQwUZM1xvjgJZDpw5GPVU27qPJ33GwBRU9%2BqxBeCMBYkY7LuNOkQ6vMr...",,1326,Passed,"",web.pageComplete,
"focus",,1257,Passed,"",ft.action,
"Think: 1.147 (sec).",,1170,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,47,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=plrhhwdu7_5&_afrLoop=25156888816553427&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1559,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3173,Passed,"",basic.comment,
"focus",,197,Passed,"",ft.action,
"Think: 0.147 (sec).",,164,Passed,"",basic.comment,
"Click link(""@text='ER Reports'"")",,202,Passed,"",ft.action,
"Think: 3.147 (sec).",,3159,Passed,"",basic.comment,
"DoubleClick link(""@text='Employee Assignment History'"")",248,72,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",250,5182,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Assignment%20History%20Report/Report/Employee%20Assignment%20History.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%2...",,0,Passed,"",web.frame,
"focus",,193,Passed,"",ft.action,
"Think: 0.096 (sec).",,110,Passed,"",basic.comment,
"DoubleClick button(""@id='reportViewApply'"")",,166,Passed,"",ft.action,
"Think: 10 (sec).",,10016,Passed,"",basic.comment,
"CapturePage",165,11682,Failed,"Failed to get a response after sending the message: <Message name=""CapturePage""><Parameter WindowIndex=""1""></Parameter></Message>.",ft.action,
"Finish Total (sec)",,44,Failed,"",basic.finish,
"Failed to playback",,59,Failed,"Failed to playback: No browser launched.",ft.action,
