42621,1,HCM_EmployeeAssignmentHistoryReport_0187,3/03/2021 17:30:35 PM,0,Passed,3/03/2021 17:29:52 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2605,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.190",,2279,Passed,"",basic.step,
"Iteration Total (sec)",,38671,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,70,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,17,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DBbCNlfmR1HqWSqoIMfpMnTM4s5hta6yuJy8Qurj1Oo3KTHb6udDA5%2FWO3y6vTi74%2Bh8XEvT8YpQhJpBAmSPasb7a%2FmwJOnFb%2BnQmhs7OkCTJBs7tFJxZPkEsfG5zPrK8fvrJ8sbMm4...",,7323,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,70,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,234,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,71,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,217,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DBbCNlfmR1HqWSqoIMfpMnTM4s5hta6yuJy8Qurj1Oo3KTHb6udDA5%2FWO3y6vTi74%2Bh8XEvT8YpQhJpBAmSPasb7a%2FmwJOnFb%2BnQmhs7OkCTJBs7tFJxZPkEsfG5zPrK8fvrJ8sbMm4...",,1334,Passed,"",web.pageComplete,
"focus",,2272,Passed,"",ft.action,
"Think: 1.147 (sec).",,1170,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,56,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=58dopqvr8_5&_afrLoop=25157077325540966&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1518,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3169,Passed,"",basic.comment,
"focus",,181,Passed,"",ft.action,
"Think: 0.147 (sec).",,166,Passed,"",basic.comment,
"Click link(""@text='ER Reports'"")",,200,Passed,"",ft.action,
"Think: 3.147 (sec).",,3162,Passed,"",basic.comment,
"DoubleClick link(""@text='Employee Assignment History'"")",248,74,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/analytics/saw.dll?bipublisherEntry",250,5246,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Assignment%20History%20Report/Report/Employee%20Assignment%20History.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%2...",,0,Passed,"",web.frame,
"focus",,235,Passed,"",ft.action,
"Think: 0.096 (sec).",,108,Passed,"",basic.comment,
"DoubleClick button(""@id='reportViewApply'"")",,71,Passed,"",ft.action,
"Think: 10 (sec).",,10021,Passed,"",basic.comment,
"Finish Total (sec)",,1071,Passed,"",basic.finish,
"Info",,1,Passed,"Comments: Employee Assignment History - Oracle BI Publisher",basic.comment,
"closeBrowser",165,49,Passed,"",ft.action,
"Think: 0.771 (sec).",,795,Passed,"",basic.comment,
"closeBrowser",640,29,Passed,"",ft.action,
