178037,1,HCM_ManuallyCreatingWorkRelationship_For_Person_0213,4/10/2021 00:28:08 AM,0,Passed,4/10/2021 00:25:10 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4001,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.114",,3534,Passed,"",basic.step,
"Iteration Total (sec)",,173551,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,166,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,23,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DP6OPHpkfMR8VOEqLeyVu2DecebU0c6UIOyWO44sWHlToufhWSLNaldek6N6AqGTKqAibKyVqE9oWlH6QucJ%2ByIsjV6Gh%2FCVSclMpEKJTAprRnvHyvGe2Ae0UNXbADAP53MIIkcLfuOpFhr...",,6521,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,78,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,390,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,81,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,240,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DP6OPHpkfMR8VOEqLeyVu2DecebU0c6UIOyWO44sWHlToufhWSLNaldek6N6AqGTKqAibKyVqE9oWlH6QucJ%2ByIsjV6Gh%2FCVSclMpEKJTAprRnvHyvGe2Ae0UNXbADAP53MIIkcLfuOpFhr...",,1355,Passed,"",web.pageComplete,
"focus",,3393,Passed,"",ft.action,
"Think: 1.147 (sec).",,1176,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,61,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=2snz3mrk_1&_adf.no-new-window-redirect=true&_afrLoop=3099531500611366&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMF...",,1403,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3167,Passed,"",basic.comment,
"focus",,201,Passed,"",ft.action,
"Think: 0.147 (sec).",,170,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,219,Passed,"",ft.action,
"Think: 3.147 (sec).",,3166,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,219,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3099537034461915&_adf.ctrl-state=2snz3mrk_93",,1499,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2460,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,227,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")  ",,71,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,230,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") 2373862586",,78,Passed,"",ft.action,
"Think: 0.546 (sec).",,565,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value40::Label0'"")",,2280,Passed,"",ft.action,
"Think: 0.546 (sec).",,562,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,245,Passed,"",ft.action,
"Think: 2.214 (sec).",,2231,Passed,"",basic.comment,
"focus",,178,Passed,"",ft.action,
"Click link(""@text='Sujit Swain'"")",,223,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=3099546226326590&_afrWindowMode=0&_afrWindowI...",,1449,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.783 (sec).",,3804,Passed,"",basic.comment,
"focus",,217,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Before adding Pending Worker WorkR elationship, below is the screen shot..",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-04-09&_afrLoop=3099558176891984&pAssignmentId=300000004254630&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonId...",,1048,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click image(""@alt='Tasks'"")",147,199,Passed,"",ft.action,
"Click link(""@text='Create Work Relationship'"")",174,1381,Passed,"",ft.action,
"Think: 2.783 (sec).",,2806,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:0:SP1:inputDate1::content'"")",,361,Passed,"",ft.action,
"Think: 0.143 (sec).",,164,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:0:SP1:action::content'"")",,218,Passed,"",ft.action,
"Think: 0.929 (sec).",,948,Passed,"",basic.comment,
"Click element(""@text='Add Pending Work Relationship'"")",,232,Passed,"",ft.action,
"Think: 1.908 (sec).",,1924,Passed,"",basic.comment,
"Click link(""@index='60'"")",,207,Passed,"",ft.action,
"Think: 1.2 (sec).",,1227,Passed,"",basic.comment,
"Click element(""@text=""Ma&apos;aden Legal Employer"""")",,210,Passed,"",ft.action,
"Think: 1.2 (sec).",,1231,Passed,"",basic.comment,
"Click link(""@index='61'"")",257,232,Passed,"",ft.action,
"Think: 1.051 (sec).",,1068,Passed,"",basic.comment,
"Click element(""@text='Contingent worker'"")",,221,Passed,"",ft.action,
"focus",,202,Passed,"",ft.action,
"focus",,209,Passed,"",ft.action,
"focus",,202,Passed,"",ft.action,
"focus",,206,Passed,"",ft.action,
"focus",,198,Passed,"",ft.action,
"Think: 0.041 (sec).",,55,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-04-09&_afrLoop=3099558176891984&pAssignmentId=300000004254630&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonId...",,1079,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:0:SP1:tt1:next'"")",,375,Passed,"",ft.action,
"Think: 7.088 (sec).",,7105,Passed,"",basic.comment,
"Click element(""@text='Next'"")",,242,Passed,"",ft.action,
"Think: 5.125 (sec).",,5141,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:2:SP1:r2:0:df1_ContractLegDDFIterator_EMPLOYMENT_STATUS_DisplaySA::lovIconId'"")",226,247,Passed,"",ft.action,
"Think: 2.806 (sec).",,2826,Passed,"",basic.comment,
"Click element(""@text='Single'"")",,230,Passed,"",ft.action,
"Think: 2.59 (sec).",,2606,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:2:SP1:AddWo2:0:AddWo1:0:businessUnitId::lovIconId'"")",228,259,Passed,"",ft.action,
"Think: 4.85 (sec).",,4868,Passed,"",basic.comment,
"Click element(""@text=""Ma&apos;aden Aluminium Company (MAC)"""")",,217,Passed,"",ft.action,
"Think: 2.821 (sec).",,2841,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:2:SP1:AddWo2:0:JobDe1:0:kf2CS::content'"")",,219,Passed,"",ft.action,
"Think: 0.034 (sec).",,54,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:2:SP1:AddWo2:0:JobDe1:0:kf2CS::content'"") No.No.100.Eastern Expat",,85,Passed,"",ft.action,
"Think: 1.577 (sec).",,1595,Passed,"",basic.comment,
"Click element(""@text='Next'"")",,208,Passed,"",ft.action,
"Think: 10 (sec).",,10025,Passed,"",basic.comment,
"Click element(""@text='x'"")",,205,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Click link(""@text='Submit'"")",,249,Passed,"",ft.action,
"Think: 7.399 (sec).",,7419,Passed,"",basic.comment,
"Click element(""@text='x'"")",,221,Passed,"",ft.action,
"Think: 10 (sec).",,10017,Passed,"",basic.comment,
"Click link(""@text='Submit'"")",,240,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:4:SP3:tt1:okWarningDialog'"")",,228,Passed,"",ft.action,
"Think: 10 (sec).",,10021,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:4:SP3:tt1:okConfirmationDialog'"")",,217,Passed,"",ft.action,
"Think: 10 (sec).",,10023,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_UIShome::icon'"")",,197,Passed,"",ft.action,
"Think: 4.444 (sec).",,4466,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,225,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&_afrLoop=3099670144158745&_afrWindowMode=0&_afrWindowId=ew1p6bzi5&_adf.ctrl-state=2snz3mrk_210&_afrFS=16&_afrMT=screen&_a...",,2247,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::reset'"")",,203,Passed,"",ft.action,
