40157,1,HCM_PendingWorkerPageValidation_0137,12/14/2020 12:59:50 PM,0,Passed,12/14/2020 12:59:09 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4950,Passed,"",basic.init,
"Launch Browser: Chrome 87.0.4280.88",,4428,Passed,"",basic.step,
"Iteration Total (sec)",,34749,Passed,"",basic.iteration,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,161,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,35,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DAoKoakpxBTCV6XWRRVkbvhz7Z6O1YTf%2BOhxSKmxzVcsJ3RQgmk3hACa5mY4maMvNSGWMplhC8Q%2Fxf2t65%2FCiGLi%2FnxzwWeincymh23YZ45lhADIZ32xQYHp6pMsdPBqrYz7xcNpXCJ...",,7152,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,79,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,334,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,68,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,294,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DAoKoakpxBTCV6XWRRVkbvhz7Z6O1YTf%2BOhxSKmxzVcsJ3RQgmk3hACa5mY4maMvNSGWMplhC8Q%2Fxf2t65%2FCiGLi%2FnxzwWeincymh23YZ45lhADIZ32xQYHp6pMsdPBqrYz7xcNpXCJ...",,1535,Passed,"",web.pageComplete,
"focus",,1284,Passed,"",ft.action,
"Think: 1.147 (sec).",,1199,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,79,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=10y12uz0xk_5&_afrLoop=18315237705177464&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_af...",,1627,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3183,Passed,"",basic.comment,
"focus",,247,Passed,"",ft.action,
"Think: 0.147 (sec).",,169,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,281,Passed,"",ft.action,
"Think: 3.147 (sec).",,3183,Passed,"",basic.comment,
"DoubleClick link(""@id='itemNode_workforce_management_new_person_0'"")",,93,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=18315241636754479&_adf.ctrl-state=10y12uz0xk_81",,2867,Passed,"",web.pageComplete,
"Click link(""@text='Pending Workers'"")",,470,Passed,"",ft.action,
"Think: 3.796 (sec).",,3823,Passed,"",basic.comment,
"Think: 3.796 (sec).",,3819,Passed,"",basic.comment,
"Info",,1,Passed,"Comments: Pending Workers - New Person - Oracle Applications",basic.comment,
"Finish Total (sec)",,55,Passed,"",basic.finish,
