40614,1,HCM_Reversing_Termination_WithDrawn_0200,3/17/2021 00:36:21 AM,0,Passed,3/17/2021 00:35:41 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4238,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.82",,3798,Passed,"",basic.step,
"Iteration Total (sec)",,35995,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,135,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,25,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DBfHcjSkBD6uHH1AfGf1WUrIsm7EEFadeWsGgrHTtzx4FZ6uHNJ841HVa9MKPjLdjKRp%2BqgGDg4TnS1ImDqCIJaMHrPXIDYahI8Twb0cDPjgppP3m6Sf14dSq4UmBxdfDb9luPCugF8wLw%2B...",,6559,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,68,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,251,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,68,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,203,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DBfHcjSkBD6uHH1AfGf1WUrIsm7EEFadeWsGgrHTtzx4FZ6uHNJ841HVa9MKPjLdjKRp%2BqgGDg4TnS1ImDqCIJaMHrPXIDYahI8Twb0cDPjgppP3m6Sf14dSq4UmBxdfDb9luPCugF8wLw%2B...",,1365,Passed,"",web.pageComplete,
"focus",,2287,Passed,"",ft.action,
"Think: 1.147 (sec).",,1173,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,51,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=uxkk3lgog_1&_adf.no-new-window-redirect=true&_afrLoop=1026561503378723&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1512,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3169,Passed,"",basic.comment,
"Click element(""@id='pt1:_UISatr:0:cil1::icon'"")",183,192,Passed,"",ft.action,
"Click button(""@id='pt1:_UISatr:0:cbb1'"")",,1267,Passed,"",ft.action,
"Think: 5.118 (sec).",,5136,Passed,"",basic.comment,
"Click button(""@id='pt1:atkfr1:0:rQuick:1:up1:UPsp1:cb123'"")",,214,Passed,"",ft.action,
"WaitForPage ",171,5116,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/integration/worklistapp/afr/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/integration/worklistapp/faces/home.jspx?_adf.ctrl-state=xilvo988s_5&Adf-Rich-Message=true&unique=1615921574448&oracle.adf.view.rich.STREAM=homePageTemplate:homePageRegion:0:tldc:taskTa...",,0,Passed,"",web.frame,
"Think: 2 (sec).",,2029,Passed,"",basic.comment,
"Click link(""@text='Initiated Tasks '"")",,210,Passed,"",ft.action,
"Think: 3.181 (sec).",,3196,Passed,"",basic.comment,
"closeBrowser",182,35,Passed,"",ft.action,
"Finish Total (sec)",,40,Passed,"",basic.finish,
