50865,1,HCM_RouteEmploymentApprovals_0095,10/11/2020 00:20:11 AM,0,Passed,10/11/2020 00:19:19 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5447,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.121",,4820,Passed,"",basic.step,
"Iteration Total (sec)",,44568,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,78,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,53,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,3608,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,69,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,351,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,56,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,218,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,1459,Passed,"",web.pageComplete,
"Click link(""@id='groupNode_tools'"")",,4517,Passed,"",ft.action,
"Think: 1.544 (sec).",,1583,Passed,"",basic.comment,
"Click link(""@id='itemNode_Tools_TransactionConsole_TransactionAdministratorConsol_0'"")",,410,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_Tools_TransactionConsole_TransactionAdministratorConsol",,4876,Passed,"",web.pageComplete,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_Tools_TransactionConsole_TransactionAdministratorConsol&_afrLoop=3198220015745772&_afrWindowMode=0&_afrWindo...",,3129,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='pt1:_FOr1:1:_FONSr2:0:_FOTsdiHRC_ADMIN_CONSOLE_RULES::text'"")",,619,Passed,"",ft.action,
"Think: 1.544 (sec).",,1570,Passed,"",basic.comment,
"Click textBox(""@id='pt1:_FOr1:1:_FONSr2:0:_FOTr2:1:pt1:SP1:subf1:it36::content'"")",,255,Passed,"",ft.action,
"SetText textBox(""@id='pt1:_FOr1:1:_FONSr2:0:_FOTr2:1:pt1:SP1:subf1:it36::content'"") Resignation",,82,Passed,"",ft.action,
"PressEnter textBox(""@id='pt1:_FOr1:1:_FONSr2:0:_FOTr2:1:pt1:SP1:subf1:it36::content'"")",,260,Passed,"",ft.action,
"Think: 1.81 (sec).",,1832,Passed,"",basic.comment,
"Click image(""@id='pt1:_FOr1:1:_FONSr2:0:_FOTr2:1:pt1:SP1:t1:20:cil1aaa::icon'"")",,194,Passed,"",ft.action,
"Think: 5.564 (sec).",,5585,Passed,"",basic.comment,
"Click element(""@id='3'"")",,3198,Passed,"",ft.action,
"Think: 1.237 (sec).",,1255,Passed,"",basic.comment,
"focus",,207,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_Tools_TransactionConsole_TransactionAdministratorConsol&_afrLoop=3198220015745772&_afrWindowMode=0&_afrWindo...",,1381,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,160,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_Tools_TransactionConsole_TransactionAdministratorConsol&_afrLoop=3198220015745772&_afrWindowMode=0&_afrWindo...",,1213,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.081 (sec).",,1110,Passed,"",basic.comment,
"Click link(""@text='Cancel'"")",824,199,Passed,"",ft.action,
"Think: 1.377 (sec).",,1403,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTr2:2:SP1:cb2'"")",,203,Passed,"",ft.action,
"Finish Total (sec)",,333,Passed,"",basic.finish,
"closeBrowser",,140,Passed,"",ft.action,
