56950,1,HCM_ConfigureChecklist_TaskDisplayProperties_0092,10/06/2020 16:37:59 PM,0,Failed,10/06/2020 16:37:02 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1218,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.121",,769,Passed,"",basic.step,
"Iteration Total (sec)",,55226,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,70,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,50,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2824865711307459&_afrWindowMode=0&_afrWindowId=heon0keyw&_adf.ctrl-state=nsa21sf7v_1&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afrMFDW=1536&_afrMFDH=864&_af...",,14380,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Failed to playback",,39426,Failed,"",ft.action,
"setText",,38864,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,68,Failed,"",basic.finish,
"Failed to playback",,77,Failed,"Failed to playback: No browser launched.",ft.action,
