181932,1,HCM_TerminateEmployee_Add_NonWorkerWorkRelationship_0217,4/14/2021 00:22:06 AM,0,Passed,4/14/2021 00:19:04 AM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3368,Passed,"",basic.init,
"Launch Browser: Chrome 89.0.4389.114",,2953,Passed,"",basic.step,
"Iteration Total (sec)",,178207,Passed,"",basic.iteration,
"Navigate https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/",,155,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,22,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DZOqWmo8HDUGAflL%2Bm1Yk1spEJ4H9PHsnPnAbVbreEKkbHsAJs69tRm3FdxbIvCU2SvMwfnm5%2FSc1tKgx%2FUvl19vXntwy8rMbZ2nff9KNLddfkZxaQuZ0K9IGsdJzmssLVcckU5T%2Fhe...",,6351,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,67,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,252,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,67,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,211,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DZOqWmo8HDUGAflL%2Bm1Yk1spEJ4H9PHsnPnAbVbreEKkbHsAJs69tRm3FdxbIvCU2SvMwfnm5%2FSc1tKgx%2FUvl19vXntwy8rMbZ2nff9KNLddfkZxaQuZ0K9IGsdJzmssLVcckU5T%2Fhe...",,1327,Passed,"",web.pageComplete,
"focus",,2315,Passed,"",ft.action,
"Think: 1.147 (sec).",,1173,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,62,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=12mlohn79k_1&_adf.no-new-window-redirect=true&_afrLoop=3444763100349760&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1378,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3173,Passed,"",basic.comment,
"focus",,183,Passed,"",ft.action,
"Think: 0.147 (sec).",,168,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,195,Passed,"",ft.action,
"Think: 3.147 (sec).",,3166,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,214,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3444767594330548&_adf.ctrl-state=12mlohn79k_93",,2785,Passed,"",web.pageComplete,
"Think: 2.444 (sec).",,2476,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,219,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")  ",,72,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,206,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") 2252578485",,69,Passed,"",ft.action,
"Think: 0.546 (sec).",,568,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value40::Label0'"")",,192,Passed,"",ft.action,
"Think: 0.546 (sec).",,559,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,215,Passed,"",ft.action,
"Think: 2.214 (sec).",,2231,Passed,"",basic.comment,
"focus",,184,Passed,"",ft.action,
"Click link(""@text='Sujit Swain'"")",,207,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=3444776232125690&_afrWindowMode=0&_afrWindowI...",,1487,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.783 (sec).",,3799,Passed,"",basic.comment,
"focus",,210,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Before adding Convert_Contingent_Worker_To_Employee, below is the screen shot..",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-04-13&_afrLoop=3444787183697813&pAssignmentId=300000004127252&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonId...",,1013,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click image(""@alt='Tasks'"")",147,198,Passed,"",ft.action,
"Click link(""@text='Create Work Relationship'"")",174,1266,Passed,"",ft.action,
"Think: 2.783 (sec).",,2799,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:0:SP1:inputDate1::content'"")",,204,Passed,"",ft.action,
"Think: 0.143 (sec).",,164,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:0:SP1:action::content'"")",,207,Passed,"",ft.action,
"Think: 0.929 (sec).",,950,Passed,"",basic.comment,
"Click element(""@text='Add Non-Worker Work Relationship'"")",,207,Passed,"",ft.action,
"Think: 1.908 (sec).",,1930,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:0:SP1:soc1::content'"")",,216,Passed,"",ft.action,
"Think: 1.249 (sec).",,1265,Passed,"",basic.comment,
"Click element(""@text='Additional work relationship for Non-Worker'"")",,193,Passed,"",ft.action,
"Think: 1.177 (sec).",,1199,Passed,"",basic.comment,
"Click link(""@index='60'"")",,210,Passed,"",ft.action,
"Think: 1.2 (sec).",,1224,Passed,"",basic.comment,
"Click element(""@text=""Ma&apos;aden Legal Employer"""")",,192,Passed,"",ft.action,
"Think: 1.2 (sec).",,1220,Passed,"",basic.comment,
"Click link(""@index='61'"")",257,238,Passed,"",ft.action,
"Think: 1.051 (sec).",,1069,Passed,"",basic.comment,
"Click element(""@text='Nonworker'"")",,191,Passed,"",ft.action,
"focus",,197,Passed,"",ft.action,
"focus",,194,Passed,"",ft.action,
"focus",,196,Passed,"",ft.action,
"focus",,191,Passed,"",ft.action,
"focus",,196,Passed,"",ft.action,
"Think: 0.041 (sec).",,58,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-04-13&_afrLoop=3444787183697813&pAssignmentId=300000004127252&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonId...",,1049,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:0:SP1:tt1:next'"")",,351,Passed,"",ft.action,
"Think: 7.088 (sec).",,7109,Passed,"",basic.comment,
"Click element(""@text='Next'"")",,236,Passed,"",ft.action,
"Think: 7.125 (sec).",,7144,Passed,"",basic.comment,
"Click link(""@index='72'"")",226,220,Passed,"",ft.action,
"Think: 3.806 (sec).",,3829,Passed,"",basic.comment,
"Click element(""@text='Single'"")",,200,Passed,"",ft.action,
"Think: 3.59 (sec).",,3613,Passed,"",basic.comment,
"Click link(""@index='77'"")",228,233,Passed,"",ft.action,
"Think: 4.85 (sec).",,4867,Passed,"",basic.comment,
"Click element(""@text=""Ma&apos;aden Aluminium Company (MAC)"""")",,217,Passed,"",ft.action,
"Think: 2.821 (sec).",,2847,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:2:SP1:AddWo2:0:JobDe1:0:kf2CS::content'"")",,226,Passed,"",ft.action,
"Think: 0.034 (sec).",,56,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:2:SP1:AddWo2:0:JobDe1:0:kf2CS::content'"") No.No.100.Eastern Expat",,93,Passed,"",ft.action,
"Think: 1.577 (sec).",,1599,Passed,"",basic.comment,
"Click element(""@text='Next'"")",,218,Passed,"",ft.action,
"Think: 10 (sec).",,10017,Passed,"",basic.comment,
"Click element(""@text='x'"")",,208,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Click link(""@text='Submit'"")",,234,Passed,"",ft.action,
"Think: 7.399 (sec).",,7415,Passed,"",basic.comment,
"Click element(""@text='x'"")",,205,Passed,"",ft.action,
"Think: 10 (sec).",,10015,Passed,"",basic.comment,
"Click link(""@text='Submit'"")",,258,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:4:SP3:tt1:okWarningDialog'"")",,2317,Passed,"",ft.action,
"Think: 10 (sec).",,10020,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt2:0:pt1:r1:4:SP3:tt1:okConfirmationDialog'"")",,212,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_UIShome::icon'"")",,203,Passed,"",ft.action,
"Think: 4.444 (sec).",,4465,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,221,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&_afrLoop=3444906903582719&_afrWindowMode=0&_afrWindowId=oh7foxcb4&_adf.ctrl-state=12mlohn79k_210&_afrFS=16&_afrMT=screen&...",,2495,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::reset'"")",,204,Passed,"",ft.action,
"Think: 0.444 (sec).",,466,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::reset'"")",,204,Passed,"",ft.action,
"Think: 0.444 (sec).",,465,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,215,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")  ",,70,Passed,"",ft.action,
"Think: 0.444 (sec).",,459,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") 2252578485",,71,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,212,Passed,"",ft.action,
"Think: 4.214 (sec).",,4234,Passed,"",basic.comment,
"focus",,202,Passed,"",ft.action,
"Think: 0.039 (sec).",,57,Passed,"",basic.comment,
"focus",,186,Passed,"",ft.action,
"Think: 0.079 (sec).",,105,Passed,"",basic.comment,
"focus",,222,Passed,"",ft.action,
"Think: 0.076 (sec).",,103,Passed,"",basic.comment,
"focus",,190,Passed,"",ft.action,
"focus",,213,Passed,"",ft.action,
"Click link(""@text='Sujit Swain'"")",,211,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=3444911489876820&_afrWindowMode=0&_afrWindowI...",,1421,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.783 (sec).",,3800,Passed,"",basic.comment,
"focus",,227,Passed,"",ft.action,
"Info",,0,Passed,"Comments: After adding Convert_Contingent_Worker_To_Employee, below is the screen shot..",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-04-13&_afrLoop=3444923830150843&pAssignmentId=300000085421142&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonId...",,1078,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2462,Passed,"",basic.comment,
"Finish Total (sec)",,68,Passed,"",basic.finish,
