115078,1,HCM_CorrectInformation_Contract Details_0155,1/14/2021 16:19:25 PM,0,Passed,1/14/2021 16:17:29 PM,basic.step,HCM Employee Relations,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,7357,Passed,"",basic.init,
"Launch Browser: Chrome 87.0.4280.141",,6565,Passed,"",basic.step,
"Iteration Total (sec)",,106851,Passed,"",basic.iteration,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,336,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,43,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DevWU3Am5N0Zw6FF5zXiF%2FZjWFz%2FRDaNuq86dHfNbFt7FpWb%2FFzxQZH%2FRbqwSuxNcfVBJjq7nXO0A79Qrmk0SqH8B%2FKD6Frv5ztQdEHn7Z0byH%2B1Gv4K8OE9ecIpVRjKtOfWv15...",,6849,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,108,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,407,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,88,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,228,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DevWU3Am5N0Zw6FF5zXiF%2FZjWFz%2FRDaNuq86dHfNbFt7FpWb%2FFzxQZH%2FRbqwSuxNcfVBJjq7nXO0A79Qrmk0SqH8B%2FKD6Frv5ztQdEHn7Z0byH%2B1Gv4K8OE9ecIpVRjKtOfWv15...",,1509,Passed,"",web.pageComplete,
"focus",,2328,Passed,"",ft.action,
"Think: 1.147 (sec).",,1197,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,76,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=1658h0xv0f_5&_afrLoop=21005540205925645&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_af...",,1914,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3199,Passed,"",basic.comment,
"focus",,220,Passed,"",ft.action,
"Think: 0.147 (sec).",,188,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,233,Passed,"",ft.action,
"Think: 3.147 (sec).",,3172,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,261,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=21005544359680459&_adf.ctrl-state=1658h0xv0f_81",,4185,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2490,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,234,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"") Rina Chand",,109,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,270,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") 10340000000",,112,Passed,"",ft.action,
"Think: 0.546 (sec).",,571,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,235,Passed,"",ft.action,
"Think: 4.214 (sec).",,4248,Passed,"",basic.comment,
"Click element(""@text='Contingent Worker'"")",,227,Passed,"",ft.action,
"Think: 0.076 (sec).",,98,Passed,"",basic.comment,
"Click link(""@text='Syam Bahadur'"")",,260,Passed,"",ft.action,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=21005554411780577&_afrWindowMode=0&_afrWindow...",,1398,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 4.444 (sec).",,4468,Passed,"",basic.comment,
"Click element(""@text='Edit'"")",163,287,Passed,"",ft.action,
"Think: 2.303 (sec).",,2328,Passed,"",basic.comment,
"Click element(""@text='Correct'"")",164,738,Passed,"",ft.action,
"Think: 2.303 (sec).",,2346,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:0:AP1:soc1::content'"")",,227,Passed,"",ft.action,
"Think: 2.303 (sec).",,2343,Passed,"",basic.comment,
"Click element(""@text='Manager Change'"")",,218,Passed,"",ft.action,
"Think: 1.443 (sec).",,1474,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:0:AP1:d4::ok'"")",170,220,Passed,"",ft.action,
"Think: 3.736 (sec).",,3789,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:pt_r1:0:selectOneChoice1::content'"")",,315,Passed,"",ft.action,
"Think: 0.996 (sec).",,1023,Passed,"",basic.comment,
"Click element(""@text='Specified contract'"")",,231,Passed,"",ft.action,
"ClearText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:pt_r1:0:inputText1::content'"")",,113,Passed,"",ft.action,
"Think: 0.287 (sec).",,321,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:pt_r1:0:inputText1::content'"") 3",,103,Passed,"",ft.action,
"Think: 0.287 (sec).",,310,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:pt_r1:0:selectOneChoice2::content'"")",,267,Passed,"",ft.action,
"Think: 1.575 (sec).",,1606,Passed,"",basic.comment,
"Click element(""@text='Years'"")",,244,Passed,"",ft.action,
"Think: 0.728 (sec).",,759,Passed,"",basic.comment,
"SetText textArea(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:pt_r1:0:it1::content'"") Free Text",,85,Passed,"",ft.action,
"Think: 0.937 (sec).",,959,Passed,"",basic.comment,
"focus",,265,Passed,"",ft.action,
"Think: 0.593 (sec).",,633,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:pt_r1:0:df1_ContractLegDDFIterator__FLEX_ContextSA::content'"")",,266,Passed,"",ft.action,
"Think: 0.55 (sec).",,590,Passed,"",basic.comment,
"Click element(""@text='Saudi Arabia'"")",,221,Passed,"",ft.action,
"Think: 1.583 (sec).",,1616,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:pt_r1:0:df1_ContractLegDDFIterator_EMPLOYMENT_STATUS_DisplaySA::content'"")",,262,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:1:r:pt_r1:0:df1_ContractLegDDFIterator_EMPLOYMENT_STATUS_DisplaySA::content'"") Single",,116,Passed,"",ft.action,
"Think: 3.352 (sec).",,3393,Passed,"",basic.comment,
"Click element(""@text='Review'"")",,249,Passed,"",ft.action,
"Think: 8.404 (sec).",,8424,Passed,"",basic.comment,
"Click link(""@text='Submit'"")",187,370,Passed,"",ft.action,
"Think: 4.118 (sec).",,4148,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:2:AP1:tt1:okWarningDialog'"")",,222,Passed,"",ft.action,
"Think: 10 (sec).",,10043,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Manag1:2:AP1:tt1:okConfirmationDialog'"")",,253,Passed,"",ft.action,
"Think: 3.896 (sec).",,3923,Passed,"",basic.comment,
"focus",,226,Passed,"",ft.action,
"Think: 0.18 (sec).",,213,Passed,"",basic.comment,
"focus",,204,Passed,"",ft.action,
"Think: 0.333 (sec).",,368,Passed,"",basic.comment,
"focus",,227,Passed,"",ft.action,
"Think: 0.116 (sec).",,143,Passed,"",basic.comment,
"focus",,251,Passed,"",ft.action,
"Think: 0.123 (sec).",,148,Passed,"",basic.comment,
"focus",,204,Passed,"",ft.action,
"Think: 0.089 (sec).",,115,Passed,"",basic.comment,
"focus",,198,Passed,"",ft.action,
"focus",163,211,Passed,"",ft.action,
"Think: 0.089 (sec).",,110,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-01-14&_afrLoop=21005568342977879&pAssignmentId=300000015018699&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonI...",,1351,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,247,Passed,"",basic.finish,
"closeBrowser",640,67,Passed,"",ft.action,
