142437,3,repetationTesting,4/26/2021 00:55:53 AM,0,Failed,4/26/2021 00:53:31 AM,basic.step,HCM Employee Relations,,,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3078,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.85",,2724,Passed,"",basic.step,
"Iteration Total (sec)",,9209,Passed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,135,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,33,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DYIGulutqo7m4UZSeCZzzt%2BYKq%2FzLS9tTFvTGyGiLIkSm2uqdfH6jQ1zxJVavQl8joDJxFAiy1X8l%2Bv4fwQED4uF0oX5HvnMjVB0gxn6EOJ2ttuwkU0sjn7nbsavToaK8VQawqkR6ZLTH...",,6188,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@maaden.com.sa",,67,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,239,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,69,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,216,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DYIGulutqo7m4UZSeCZzzt%2BYKq%2FzLS9tTFvTGyGiLIkSm2uqdfH6jQ1zxJVavQl8joDJxFAiy1X8l%2Bv4fwQED4uF0oX5HvnMjVB0gxn6EOJ2ttuwkU0sjn7nbsavToaK8VQawqkR6ZLTH...",,1358,Passed,"",web.pageComplete,
"Iteration Total (sec)",,64587,Failed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,39,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,24,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=4481967567162445&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=xw6nf0pby_78&_afrFS=16&_afrMT=screen&_afrMFW=1280&_afrMFH=534&_afrMFDW=128...",,3436,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Find Object",,60294,Failed,"Find Object timeout. Detail information:{{obj.HCM_Cancel_Work_Relationship_for_Inactive_Payroll_Employee_N_0224.UID}} = /web:window[@index='0' or @title='Work Relationship - Person Management - Oracle Applications']/web:document[@index='0']/web:form[@id='Login' or @name='loginForm' or @index='0']/web:input_text[@id='userid' or @name='userid' or @index='0'].",ft.action,
"setText",,60527,Failed,"Find Object timeout. Detail information:{{obj.HCM_Cancel_Work_Relationship_for_Inactive_Payroll_Employee_N_0224.UID}} = /web:window[@index='0' or @title='Work Relationship - Person Management - Oracle Applications']/web:document[@index='0']/web:form[@id='Login' or @name='loginForm' or @index='0']/web:input_text[@id='userid' or @name='userid' or @index='0'].",ft.action,
"Iteration Total (sec)",,63076,Failed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,37,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,25,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=4481967567162445&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=xw6nf0pby_78&_afrFS=16&_afrMT=screen&_afrMFW=1280&_afrMFH=534&_afrMFDW=128...",,1441,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Find Object",,60761,Failed,"Find Object timeout. Detail information:{{obj.HCM_Cancel_Work_Relationship_for_Inactive_Payroll_Employee_N_0224.UID}} = /web:window[@index='0' or @title='Work Relationship - Person Management - Oracle Applications']/web:document[@index='0']/web:form[@id='Login' or @name='loginForm' or @index='0']/web:input_text[@id='userid' or @name='userid' or @index='0'].",ft.action,
"setText",,60965,Failed,"Find Object timeout. Detail information:{{obj.HCM_Cancel_Work_Relationship_for_Inactive_Payroll_Employee_N_0224.UID}} = /web:window[@index='0' or @title='Work Relationship - Person Management - Oracle Applications']/web:document[@index='0']/web:form[@id='Login' or @name='loginForm' or @index='0']/web:input_text[@id='userid' or @name='userid' or @index='0'].",ft.action,
"Finish Total (sec)",,145,Passed,"",basic.finish,
"closeBrowser",640,46,Passed,"",ft.action,
