88679,1,HCM_AddSkills_Qualifications_Previous_Employment_0111,11/03/2020 18:36:30 PM,0,Passed,11/03/2020 18:35:02 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4910,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.111",,4474,Passed,"",basic.step,
"Iteration Total (sec)",,83231,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,186,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,50,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D%2BCsuPkUMZUfE6ZMr%2FHZE2GbcnOeUajrPz%2B6QCWx4ImEcibbdP%2FjHBmAqbjYsQBYVIRt3o0WM2zJuJmb8ncO%2FXagNc1pa8jkKdiw1HHrxArMjO8vuzBtDLxJLKrsCZrf2Sm0mi6V0...",,7237,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,72,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,340,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,83,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,299,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D%2BCsuPkUMZUfE6ZMr%2FHZE2GbcnOeUajrPz%2B6QCWx4ImEcibbdP%2FjHBmAqbjYsQBYVIRt3o0WM2zJuJmb8ncO%2FXagNc1pa8jkKdiw1HHrxArMjO8vuzBtDLxJLKrsCZrf2Sm0mi6V0...",,1651,Passed,"",web.pageComplete,
"focus",,3557,Passed,"",ft.action,
"Think: 1.147 (sec).",,1171,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,44,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=7zccw5cah_5&_afrLoop=14792991869916419&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1729,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.147 (sec).",,1169,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=14792997050033061&_adf.ctrl-state=7zccw5cah_81",,1135,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_my_information'"")",773,287,Passed,"",ft.action,
"Think: 2.868 (sec).",,2892,Passed,"",basic.comment,
"Click link(""@id='showmore_groupNode_my_information'"")",775,226,Passed,"",ft.action,
"Think: 6.785 (sec).",,6813,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",776,246,Passed,"",ft.action,
"Think: 2.576 (sec).",,2603,Passed,"",basic.comment,
"Click link(""@text='Skills and Qualifications'"")",777,219,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=14792997050033061&_adf.ctrl-state=7zccw5cah_81",778,1785,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 9.961 (sec).",,9979,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",780,172,Passed,"",ft.action,
"Think: 2.594 (sec).",,2617,Passed,"",basic.comment,
"Click element(""@text='Add'"")",781,207,Passed,"",ft.action,
"Think: 4.914 (sec).",,4938,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:SP1Upl:UPsp1:regregion300000003495349Rgn:0:prsPce:pr7Rgn:0:ppePce:ppeLv:1:ppePse:eEmnInp::content'"")",782,191,Passed,"",ft.action,
"Think: 2.007 (sec).",,2038,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:SP1Upl:UPsp1:regregion300000003495349Rgn:0:prsPce:pr7Rgn:0:ppePce:ppeLv:1:ppePse:eEmnInp::content'"") IBM",783,117,Passed,"",ft.action,
"Think: 1.249 (sec).",,1282,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:SP1Upl:UPsp1:regregion300000003495349Rgn:0:prsPce:pr7Rgn:0:ppePce:ppeLv:1:ppePse:eJotInp::content'"")",784,239,Passed,"",ft.action,
"Think: 1.2 (sec).",,1230,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:SP1Upl:UPsp1:regregion300000003495349Rgn:0:prsPce:pr7Rgn:0:ppePce:ppeLv:1:ppePse:eJotInp::content'"") System Engg",785,81,Passed,"",ft.action,
"Think: 2.821 (sec).",,2863,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:SP1Upl:UPsp1:regregion300000003495349Rgn:0:prsPce:pr7Rgn:0:ppePce:ppeLv:1:ppePse:eStdDt::content'"")",786,226,Passed,"",ft.action,
"Think: 0.843 (sec).",,862,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:SP1Upl:UPsp1:regregion300000003495349Rgn:0:prsPce:pr7Rgn:0:ppePce:ppeLv:1:ppePse:eStdDt::content'"") 10-Aug-1008",787,57,Passed,"",ft.action,
"Think: 2.374 (sec).",,2395,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:SP1Upl:UPsp1:regregion300000003495349Rgn:0:prsPce:pr7Rgn:0:ppePce:ppeLv:1:ppePse:eStdDt::content'"")",788,201,Passed,"",ft.action,
"Think: 2.327 (sec).",,2344,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:SP1Upl:UPsp1:regregion300000003495349Rgn:0:prsPce:pr7Rgn:0:ppePce:ppeLv:1:ppePse:eEndDt::content'"") 10-Aug-1018",789,55,Passed,"",ft.action,
"Think: 2.841 (sec).",,2865,Passed,"",basic.comment,
"Click link(""@text='Save'"")",790,270,Passed,"",ft.action,
"Think: 10 (sec).",,10023,Passed,"",basic.comment,
"DoubleClick element(""@text='IBM'"")",791,50,Passed,"",ft.action,
"Finish Total (sec)",,67,Passed,"",basic.finish,
