41486,1,HCM_AddSkills_Qualifications_Previous_Employment_0111,11/03/2020 19:43:44 PM,0,Failed,11/03/2020 19:43:03 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1581,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.111",,992,Passed,"",basic.step,
"Iteration Total (sec)",,39369,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,153,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,80,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=14797059525995377&_afrWindowMode=0&_afrWindowId=cntoeoe6u&_adf.ctrl-state=d5sz0d08x_186&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH=710&_afrM...",,12984,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"setText",,24095,Failed,"Failed to get a response after sending the message: <Message name=""GetChildren""><Parameter tag=""window""></Parameter><RequiredAttribute name=""index"" logic=""OR"" value=""0"" operator=""EQUALS""></RequiredAttribute><RequiredAttribute name=""title"" logic="""" value=""Skills and Qualifications - - Oracle Applications"" operator=""EQUALS""></RequiredAttribute></Message>.",ft.action,
"Finish Total (sec)",,100,Failed,"",basic.finish,
"Failed to playback",,119,Failed,"Failed to playback: No browser launched.",ft.action,
