79096,1,HCM_Add_Passport_Information_0116,11/11/2020 18:00:03 PM,0,Failed,11/11/2020 17:58:43 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8474,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.193",,7827,Passed,"",basic.step,
"Iteration Total (sec)",,69894,Failed,"Failed to get a response after sending the message: <Message name=""GetChildren""><Parameter WindowIndex=""0""></Parameter><Parameter ParentID=""0""></Parameter><Parameter ElementType=""document""></Parameter><Parameter tag=""a""></Parameter><RequiredAttribute name=""id"" logic=""OR"" value=""pt1:commandLink1"" operator=""EQUALS""></RequiredAttribute><RequiredAttribute name=""text"" logic="""" value=""You have a new home page!"" operator=""EQUALS""></RequiredAttribute></Message>.",basic.iteration,
"Maximize window(""@index='0'"")",,150,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,90,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D1feJ1hQBgvYvNGnp7UdK931ih7B%2B%2Bqw5Vy2XLxj1MUMq23NT%2Byt8b9FYRHeBzIP5YpaFRjPDxcEvVeWzQr2X1VmfHpyfDwwfOwgaIWJTpFhm872JmlS%2FDCVSYBtuoUPzIR5Tr7Dp6j...",,7569,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,80,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,421,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,98,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,224,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D1feJ1hQBgvYvNGnp7UdK931ih7B%2B%2Bqw5Vy2XLxj1MUMq23NT%2Byt8b9FYRHeBzIP5YpaFRjPDxcEvVeWzQr2X1VmfHpyfDwwfOwgaIWJTpFhm872JmlS%2FDCVSYBtuoUPzIR5Tr7Dp6j...",,1500,Passed,"",web.pageComplete,
"Finish Total (sec)",,129,Failed,"",basic.finish,
"Failed to playback",,170,Failed,"Failed to playback: No browser launched.",ft.action,
