110843,1,HCM_Add_Passport_Information_0116,11/12/2020 10:32:13 AM,0,Passed,11/12/2020 10:30:21 AM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8760,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.193",,8205,Passed,"",basic.step,
"Iteration Total (sec)",,101409,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,192,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,59,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DzRYJHplMeBSSVB6GWwmh0UzLw2oTK5EhQf%2BQ%2F%2BLN2YDLtLKpSs3S7diGb43cE7mhiZs87MJxwbSsWP8Ktt7nJ1o2aoCEKll%2BaNq6sDQnXkBCTtmTJsMfQ%2BBlym8wAk%2BgnFKruC...",,7070,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,70,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,420,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,76,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,258,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DzRYJHplMeBSSVB6GWwmh0UzLw2oTK5EhQf%2BQ%2F%2BLN2YDLtLKpSs3S7diGb43cE7mhiZs87MJxwbSsWP8Ktt7nJ1o2aoCEKll%2BaNq6sDQnXkBCTtmTJsMfQ%2BBlym8wAk%2BgnFKruC...",,1490,Passed,"",web.pageComplete,
"focus",,2424,Passed,"",ft.action,
"Think: 3.147 (sec).",,3185,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,164,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=xwiir8u0b_5&_afrLoop=15541513974691958&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1712,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.147 (sec).",,1202,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=15541520318956284&_adf.ctrl-state=xwiir8u0b_81",,1144,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_my_information'"")",,263,Passed,"",ft.action,
"Think: 0.868 (sec).",,893,Passed,"",basic.comment,
"Click link(""@text='Identification Info'"")",,212,Passed,"",ft.action,
"Think: 6.785 (sec).",,6809,Passed,"",basic.comment,
