81088,1,HCM_Add_Visa_WorkPermits_Information_0120,11/15/2020 15:28:06 PM,0,Passed,11/15/2020 15:26:45 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5025,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,4514,Passed,"",basic.step,
"Iteration Total (sec)",,75546,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,217,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,97,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DzxJaTkc9wD7EEcuzBC6HmqgxwCiAl6CDnHVGaqpSoqxqtI0gNhGyhAJqu0NH%2ByAzMKc0QYPST81k7ey8VxwqNB3YIfs885SFeWGCoPlDoUfZxI5r6q85UVjvQzexkF7tS%2BjExNht79U7%2...",,7468,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,76,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,538,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,114,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,279,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DzxJaTkc9wD7EEcuzBC6HmqgxwCiAl6CDnHVGaqpSoqxqtI0gNhGyhAJqu0NH%2ByAzMKc0QYPST81k7ey8VxwqNB3YIfs885SFeWGCoPlDoUfZxI5r6q85UVjvQzexkF7tS%2BjExNht79U7%2...",,1750,Passed,"",web.pageComplete,
"focus",,2564,Passed,"",ft.action,
"Think: 3.147 (sec).",,3203,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,97,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=eq9bgo59j_5&_afrLoop=15818495846869506&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,6808,Passed,"",web.pageComplete,
"Think: 1.147 (sec).",,1193,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=15818502512330802&_adf.ctrl-state=eq9bgo59j_81",,1410,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_my_information'"")",,309,Passed,"",ft.action,
"Think: 0.868 (sec).",,925,Passed,"",basic.comment,
"Click link(""@text='Identification Info'"")",,333,Passed,"",ft.action,
"Think: 6.785 (sec).",,6851,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,5526,Passed,"",ft.action,
"Think: 2.334 (sec).",,2383,Passed,"",basic.comment,
"Click image(""@alt='Expand'"")",,300,Passed,"",ft.action,
"Think: 5.514 (sec).",,5567,Passed,"",basic.comment,
"Click element(""@style='background: rgb(255, 0, 102);'"")",,307,Passed,"",ft.action,
"Click link(""@text=""See how it&apos;s going."""")",,328,Passed,"",ft.action,
"Think: 5 (sec).",,5066,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,292,Passed,"",ft.action,
"Think: 0.556 (sec).",,573,Passed,"",basic.comment,
"Click link(""@id='BIP_NOTIF_discloseHref'"")",,284,Passed,"",ft.action,
"Think: 5.111 (sec).",,5142,Passed,"",basic.comment,
"DoubleClick element(""@tabIndex='-1'"")",,4317,Passed,"",ft.action,
"Info",,1,Passed,"Comments: screenshot captured below...",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FuseOverview?fnd=%252FWEB-INF%252Foracle%252Fapps%252Fhcm%252FhomePage%252FpublicUi%252FquickAction%252Fflow%252FHcmDataSecurityCheckFlow.xml%2523HcmDataSecurityCheckFlow%...",,3708,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,49,Passed,"",basic.finish,
