55376,1,HCM_ContactInfo_Add_Email_0085,10/11/2020 14:48:58 PM,0,Passed,10/11/2020 14:48:03 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8037,Passed,"",basic.init,
"Launch Browser: Chrome 85.0.4183.121",,7020,Passed,"",basic.step,
"Iteration Total (sec)",,46338,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,310,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,128,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dd21caA7dar4JA7csJLb%2FCXsoLzrDr%2F2cs5Eqn7JW%2FSDHS16JwVrAgTm7oB6XgwXq7mUyOZLhUAWnDnsj8VHMz8GQDbb5R0FI8Hw5UCq5WGCoeOc9185OXDRAcLrY3u2YOyngsjju57dq...",,7755,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,134,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,385,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,99,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,316,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dd21caA7dar4JA7csJLb%2FCXsoLzrDr%2F2cs5Eqn7JW%2FSDHS16JwVrAgTm7oB6XgwXq7mUyOZLhUAWnDnsj8VHMz8GQDbb5R0FI8Hw5UCq5WGCoeOc9185OXDRAcLrY3u2YOyngsjju57dq...",,2026,Passed,"",web.pageComplete,
"focus",,6504,Passed,"",ft.action,
"Think: 1.147 (sec).",,1209,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,75,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=ly11k4tj9_5&_afrLoop=12792177818530721&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,2158,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 5.147 (sec).",,5200,Passed,"",basic.comment,
"focus",,210,Passed,"",ft.action,
"Think: 0.147 (sec).",,187,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,218,Passed,"",ft.action,
"Think: 3.147 (sec).",,3185,Passed,"",basic.comment,
"Click link(""@text='Contact Info'"")",,232,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=12792187302976059&_adf.ctrl-state=ly11k4tj9_81",,5542,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FuseOverview?fnd=%252FWEB-INF%252Foracle%252Fapps%252Fhcm%252FhomePage%252FpublicUi%252FquickAction%252Fflow%252FHcmDataSecurityCheckFlow.xml%2523HcmDataSecurityCheckFlow%...",,1579,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: Page title is -> Contact Info - - Oracle Applications",basic.comment,
"Info",,0,Passed,"Comments: Test Case pass, as page title is return correctly.",basic.comment,
"Think: 2.166 (sec).",,2197,Passed,"",basic.comment,
"Click element(""@text='Add'"")",,215,Passed,"",ft.action,
"Think: 0.803 (sec).",,834,Passed,"",basic.comment,
"Click element(""@text='Email Details'"")",,352,Passed,"",ft.action,
"Think: 0.524 (sec).",,565,Passed,"",basic.comment,
"Finish Total (sec)",,49,Passed,"",basic.finish,
