129997,1,HCM_CreateNewAddress_Employee_0097,10/14/2020 13:11:05 PM,0,Passed,10/14/2020 13:08:54 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,12111,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.75",,11116,Passed,"",basic.step,
"Iteration Total (sec)",,117235,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,161,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,60,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dvb72AYmO8Z8Nj2%2BhLeBs8b33d36uQ2wp6oWzj%2FgGPE7e1OwTYC3janINgZVKyDDcjKVqHQEegyall77E4zvHwAVEXNE18hMc9kRxwlAzh1hGl0WXAi1NjEapNcdnyT4XtioyegBJcdsDwb...",,7720,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,134,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,559,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,75,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,194,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dvb72AYmO8Z8Nj2%2BhLeBs8b33d36uQ2wp6oWzj%2FgGPE7e1OwTYC3janINgZVKyDDcjKVqHQEegyall77E4zvHwAVEXNE18hMc9kRxwlAzh1hGl0WXAi1NjEapNcdnyT4XtioyegBJcdsDwb...",,1486,Passed,"",web.pageComplete,
"focus",,3608,Passed,"",ft.action,
"Think: 1.147 (sec).",,1205,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,62,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=vchai9e6r_5&_afrLoop=13045432818864890&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,2387,Passed,"",web.pageComplete,
"Think: 3.147 (sec).",,3191,Passed,"",basic.comment,
"focus",,226,Passed,"",ft.action,
"Think: 0.147 (sec).",,174,Passed,"",basic.comment,
"Click link(""@id='groupNode_my_information_0'"")",,183,Passed,"",ft.action,
"Think: 0.147 (sec).",,173,Passed,"",basic.comment,
"Click link(""@text='Contact Info'"")",,200,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=13045437250189334&_adf.ctrl-state=vchai9e6r_81",,13588,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FuseOverview?fnd=%252FWEB-INF%252Foracle%252Fapps%252Fhcm%252FhomePage%252FpublicUi%252FquickAction%252Fflow%252FHcmDataSecurityCheckFlow.xml%2523HcmDataSecurityCheckFlow%...",,1458,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: Page title is -> Contact Info - - Oracle Applications",basic.comment,
"Info",,1,Passed,"Comments: Here we are landing Contact Info page",basic.comment,
"Info",,0,Passed,"Comments: Test Case pass, as page title is return correctly.",basic.comment,
"Think: 2.166 (sec).",,2186,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FuseOverview?fnd=%252FWEB-INF%252Foracle%252Fapps%252Fhcm%252FhomePage%252FpublicUi%252FquickAction%252Fflow%252FHcmDataSecurityCheckFlow.xml%2523HcmDataSecurityCheckFlow%...",,1153,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:PCEcil1'"")",,408,Passed,"",ft.action,
"Think: 3.586 (sec).",,3615,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:CnSis:ctrySrh::content'"")",,205,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:CnSis:ctrySrh::content'"") In India",,188,Passed,"",ft.action,
"Think: 1.002 (sec).",,1042,Passed,"",basic.comment,
"Click element(""@text='IN'"")",,232,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:CnSis:ctrySrh::content'"")",,182,Passed,"",ft.action,
"Think: 1.002 (sec).",,1028,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:aTypSel::content'"") Select a value",,91,Passed,"",ft.action,
"Think: 1.002 (sec).",,1037,Passed,"",basic.comment,
"Click element(""@text='Kingdom Address'"")",690,174,Passed,"",ft.action,
"Think: 0.296 (sec).",,326,Passed,"",basic.comment,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:aTypSel::content'"")",,230,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:changDt::content'"") 13-Oct-2020",,124,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:changDt::content'"")",,188,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:a1:AddStIt:0:adL1Inp::content'"") Line1",,66,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:a1:AddStIt:0:adL1Inp::content'"")",,203,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:a1:AddStIt:1:adL2Inp::content'"") Line2",,60,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:a1:AddStIt:1:adL2Inp::content'"")",,199,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:a1:AddStIt:2:tOrCInp::content'"") Kol",,62,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:a1:AddStIt:2:tOrCInp::content'"")",,188,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:contUpl:UPsp1:addrRgn:0:addrPce:addrsLv:3:addrPse:a1:AddStIt:3:posCInp::content'"") 700135",,54,Passed,"",ft.action,
