203126,1,HCM_Edit_Passport_Information_0117,11/12/2020 11:52:54 AM,0,Failed,11/12/2020 11:49:31 AM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5115,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.198",,4474,Passed,"",basic.step,
"Iteration Total (sec)",,197515,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,89,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,62,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D%2F91JxxwAxrpJQwBE2hwlfNJGom%2FLDs5omGjkEgS%2FhC0ZXaRXml4upnWktrocY6lgYBdfL4rPJt5P7ggllMkIed%2BlbJZX36hZbfcByjZhWY1aeHl2slVoHfhmXSTS2ihxJAyEA52C3O...",,7439,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,96,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,318,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,110,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,250,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D%2F91JxxwAxrpJQwBE2hwlfNJGom%2FLDs5omGjkEgS%2FhC0ZXaRXml4upnWktrocY6lgYBdfL4rPJt5P7ggllMkIed%2BlbJZX36hZbfcByjZhWY1aeHl2slVoHfhmXSTS2ihxJAyEA52C3O...",,1484,Passed,"",web.pageComplete,
"focus",,2417,Passed,"",ft.action,
"Think: 3.147 (sec).",,3182,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,67,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=cbf0adr46_5&_afrLoop=15546259847020696&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1667,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.147 (sec).",,1188,Passed,"",basic.comment,
"CapturePage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=15546266325910510&_adf.ctrl-state=cbf0adr46_81",,1136,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_my_information'"")",,262,Passed,"",ft.action,
"Think: 0.868 (sec).",,885,Passed,"",basic.comment,
"Click link(""@text='Identification Info'"")",,268,Passed,"",ft.action,
"Think: 6.785 (sec).",,6801,Passed,"",basic.comment,
"Click image(""@alt='Edit'"")",,4514,Passed,"",ft.action,
"Think: 1.646 (sec).",,1679,Passed,"",basic.comment,
"Find Object",,160347,Failed,"Find Object timeout. Detail information:{{obj.HCM_Edit_Passport_Information_0117.Issuing Country}} = /web:window[@index='0' or @title='Identification Info - - Oracle Applications']/web:document[@index='0' or @name='14wv0uq9y4']/web:form[@id='_FOf1' or @name='_FOf1' or @index='0']/web:input_text[@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:docsUpl:UPsp1:psRnPce:passRgn:0:psptPce:psptsLv:1:psptPse:CnSis:ctrySrh::content' or @index='0'].",ft.action,
"setText",,160703,Failed,"Find Object timeout. Detail information:{{obj.HCM_Edit_Passport_Information_0117.Issuing Country}} = /web:window[@index='0' or @title='Identification Info - - Oracle Applications']/web:document[@index='0' or @name='14wv0uq9y4']/web:form[@id='_FOf1' or @name='_FOf1' or @index='0']/web:input_text[@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:0:r1:0:docsUpl:UPsp1:psRnPce:passRgn:0:psptPce:psptsLv:1:psptPse:CnSis:ctrySrh::content' or @index='0'].",ft.action,
"Finish Total (sec)",,51,Passed,"",basic.finish,
