35204,1,HCM_Delete_Skills_Qualifications_Previous_Employment_0113,11/04/2020 18:59:30 PM,0,Failed,11/04/2020 18:58:55 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,7068,Passed,"",basic.init,
"Launch Browser: Chrome 86.0.4240.111",,6318,Passed,"",basic.step,
"Iteration Total (sec)",,27306,Failed,"Failed to playback: No browser launched.",basic.iteration,
"Maximize window(""@index='0'"")",,219,Passed,"",ft.action,
"Navigate https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com",,47,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D2CzmRxHZqKH7i2%2B6rtkX4IkJJAbpx8wUGsBr5ETByKv9H20ueUuLGCOU7zTBv7WjNui32TD1VNdqA1RC7YKkP9Efluqmu61na03epx5HZtgLpVpz8EZ725wsUlTg%2Fs1pdcVRWzTSjBzyZA...",,9308,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") khanmma@dev1.maaden.com.sa",,78,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,405,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,126,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,317,Passed,"",ft.action,
"WaitForPage https://login-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D2CzmRxHZqKH7i2%2B6rtkX4IkJJAbpx8wUGsBr5ETByKv9H20ueUuLGCOU7zTBv7WjNui32TD1VNdqA1RC7YKkP9Efluqmu61na03epx5HZtgLpVpz8EZ725wsUlTg%2Fs1pdcVRWzTSjBzyZA...",,1829,Passed,"",web.pageComplete,
"focus",,4769,Passed,"",ft.action,
"Think: 3.147 (sec).",,3233,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,65,Passed,"",ft.action,
"WaitForPage https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=18awt99fio_5&_afrLoop=14880831579956000&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_af...",,2225,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-dev1-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.147 (sec).",,1209,Passed,"",basic.comment,
"Finish Total (sec)",,101,Failed,"",basic.finish,
"Failed to playback",,166,Failed,"Failed to playback: No browser launched.",ft.action,
