32541,1,HCM_EMP_SelfService_Employee_LogIn,7/01/2020 14:55:29 PM,0,Passed,7/01/2020 14:54:57 PM,basic.step,HCM Employee Self Service,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2769,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2156,Passed,"",basic.step,
"Iteration Total (sec)",,19338,Passed,"",basic.iteration,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",71,106,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",73,4127,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") AlMutiriH@test.com.sa",74,200,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",76,430,Passed,"",ft.action,
"Click button(""@text='Sign In '"")",77,127,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2301838739512692&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=u5ps0fblf_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=906&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",78,10214,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Me'"")",80,511,Passed,"",ft.action,
"Think: 2.525 (sec).",,2570,Passed,"",basic.comment,
"Finish Total (sec)",,9951,Passed,"",basic.finish,
"Click element(""@id='pt1:_UIScmil1u::icon'"")",81,125,Passed,"",ft.action,
"Think: 3.054 (sec).",,3092,Passed,"",basic.comment,
"Click link(""@id='pt1:_UISlg1'"")",82,108,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=26C3E8FF75D30D480D160A03D...",83,4557,Passed,"",web.pageComplete,
"Click button(""@id='Confirm'"")",84,74,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/logout",85,1339,Passed,"",web.pageComplete,
"closeBrowser",86,93,Passed,"",ft.action,
